$$Pricebook2.Name$Product2.Name$ProductSellingModel.Name,Id,IsActive,Name,Pricebook2.$$Name$IsStandard,Pricebook2Id,Product2.Name,Product2Id,ProductSellingModel.$$Name$SellingModelType,ProductSellingModelId,UnitPrice
Standard Price Book;QB API Management Solution;Term Annual,01ua50000004WFQAA2,true,QB API Management Solution,Standard Price Book;true,01sa50000006tcvAAA,QB API Management Solution,01ta5000000A6igAAC,Term Annual;TermDefined,0jPa500000003yoEAA,12000
Standard Price Book;Intel Xeon E5-2683 v4 2.1GHz;One-Time,01ua50000004WFRAA2,true,Intel Xeon E5-2683 v4 2.1GHz,Standard Price Book;true,01sa50000006tcvAAA,Intel Xeon E5-2683 v4 2.1GHz,01ta5000000A6ihAAC,One-Time;OneTime,0jPa500000003yrEAA,1399
Standard Price Book;32GB RDIMM;One-Time,01ua50000004WFSAA2,true,32GB RDIMM,Standard Price Book;true,01sa50000006tcvAAA,32GB RDIMM,01ta5000000A6iiAAC,One-Time;OneTime,0jPa500000003yrEAA,889
Standard Price Book;1TB 7.2k RPM NLSAS;One-Time,01ua50000004WFTAA2,true,1TB 7.2k RPM NLSAS,Standard Price Book;true,01sa50000006tcvAAA,1TB 7.2k RPM NLSAS,01ta5000000A6ijAAC,One-Time;OneTime,0jPa500000003yrEAA,499
Standard Price Book;Integration Specialist Engineer;One-Time,01ua50000004WFUAA2,true,Integration Specialist Engineer,Standard Price Book;true,01sa50000006tcvAAA,Integration Specialist Engineer,01ta5000000A6ikAAC,One-Time;OneTime,0jPa500000003yrEAA,350
Standard Price Book;Module Extension Engineer;One-Time,01ua50000004WFVAA2,true,Module Extension Engineer,Standard Price Book;true,01sa50000006tcvAAA,Module Extension Engineer,01ta5000000A6ilAAC,One-Time;OneTime,0jPa500000003yrEAA,300
Standard Price Book;Quality Assurance Engineer;One-Time,01ua50000004WFWAA2,true,Quality Assurance Engineer,Standard Price Book;true,01sa50000006tcvAAA,Quality Assurance Engineer,01ta5000000A6imAAC,One-Time;OneTime,0jPa500000003yrEAA,300
Standard Price Book;Data Normalization Expert;One-Time,01ua50000004WFXAA2,true,Data Normalization Expert,Standard Price Book;true,01sa50000006tcvAAA,Data Normalization Expert,01ta5000000A6inAAC,One-Time;OneTime,0jPa500000003yrEAA,300
Standard Price Book;Additional API;Evergreen Monthly,01ua50000004WFYAA2,true,Additional API,Standard Price Book;true,01sa50000006tcvAAA,Additional API,01ta5000000A6ioAAC,Evergreen Monthly;Evergreen,0jPa500000003ynEAA,4500
Standard Price Book;Additional API;Term Monthly,01ua50000004WFZAA2,true,Additional API,Standard Price Book;true,01sa50000006tcvAAA,Additional API,01ta5000000A6ioAAC,Term Monthly;TermDefined,0jPa500000003ypEAA,5000
Standard Price Book;Additional API;Term Annual,01ua50000004WFaAAM,true,Additional API,Standard Price Book;true,01sa50000006tcvAAA,Additional API,01ta5000000A6ioAAC,Term Annual;TermDefined,0jPa500000003yoEAA,48000
Standard Price Book;QuantumBit Complete Solution;One-Time,01ua50000004WFbAAM,true,QuantumBit Complete Solution,Standard Price Book;true,01sa50000006tcvAAA,QuantumBit Complete Solution,01ta5000000A6ipAAC,One-Time;OneTime,0jPa500000003yrEAA,0
Standard Price Book;QuantumBit Complete Solution;Evergreen Monthly,01ua50000004WFcAAM,true,QuantumBit Complete Solution,Standard Price Book;true,01sa50000006tcvAAA,QuantumBit Complete Solution,01ta5000000A6ipAAC,Evergreen Monthly;Evergreen,0jPa500000003ynEAA,0
Standard Price Book;QuantumBit Complete Solution;Term Annual,01ua50000004WFdAAM,true,QuantumBit Complete Solution,Standard Price Book;true,01sa50000006tcvAAA,QuantumBit Complete Solution,01ta5000000A6ipAAC,Term Annual;TermDefined,0jPa500000003yoEAA,0
Standard Price Book;4TB 7.2k RPM NLSAS;One-Time,01ua50000004WFeAAM,true,4TB 7.2k RPM NLSAS,Standard Price Book;true,01sa50000006tcvAAA,4TB 7.2k RPM NLSAS,01ta5000000A6iqAAC,One-Time;OneTime,0jPa500000003yrEAA,799
Standard Price Book;8GB RDIMM;One-Time,01ua50000004WFfAAM,true,8GB RDIMM,Standard Price Book;true,01sa50000006tcvAAA,8GB RDIMM,01ta5000000A6irAAC,One-Time;OneTime,0jPa500000003yrEAA,399
Standard Price Book;Intel X710 Dual Port 10Gb Direct Attach;One-Time,01ua50000004WFgAAM,true,Intel X710 Dual Port 10Gb Direct Attach,Standard Price Book;true,01sa50000006tcvAAA,Intel X710 Dual Port 10Gb Direct Attach,01ta5000000A6isAAC,One-Time;OneTime,0jPa500000003yrEAA,1599
Standard Price Book;C13 to C14 Power Cable 3';One-Time,01ua50000004WFhAAM,true,C13 to C14 Power Cable 3',Standard Price Book;true,01sa50000006tcvAAA,C13 to C14 Power Cable 3',01ta5000000A6j2AAC,One-Time;OneTime,0jPa500000003yrEAA,250
Standard Price Book;Gold Hardware Maintenance;Term Annual,01ua50000004WFiAAM,true,Gold Hardware Maintenance,Standard Price Book;true,01sa50000006tcvAAA,Gold Hardware Maintenance,01ta5000000A6jBAAS,Term Annual;TermDefined,0jPa500000003yoEAA,30000
Standard Price Book;Silver Hardware Maintenance;Term Annual,01ua50000004WFjAAM,true,Silver Hardware Maintenance,Standard Price Book;true,01sa50000006tcvAAA,Silver Hardware Maintenance,01ta5000000A6jGAAS,Term Annual;TermDefined,0jPa500000003yoEAA,25000
Standard Price Book;Additional Flows - QB Starter;Term Monthly,01ua50000004WFkAAM,true,Additional Flows - QB Starter,Standard Price Book;true,01sa50000006tcvAAA,Additional Flows - QB Starter,01ta5000000A6jIAAS,Term Monthly;TermDefined,0jPa500000003ypEAA,1500
Standard Price Book;Additional Flows - QB Starter;Evergreen Monthly,01ua50000004WFlAAM,true,Additional Flows - QB Starter,Standard Price Book;true,01sa50000006tcvAAA,Additional Flows - QB Starter,01ta5000000A6jIAAS,Evergreen Monthly;Evergreen,0jPa500000003ynEAA,2000
Standard Price Book;Additional Flows - QB Starter;Term Annual,01ua50000004WFmAAM,true,Additional Flows - QB Starter,Standard Price Book;true,01sa50000006tcvAAA,Additional Flows - QB Starter,01ta5000000A6jIAAS,Term Annual;TermDefined,0jPa500000003yoEAA,24000
Standard Price Book;Additional Messages - QB Starter;Evergreen Monthly,01ua50000004WFnAAM,true,Additional Messages - QB Starter,Standard Price Book;true,01sa50000006tcvAAA,Additional Messages - QB Starter,01ta5000000A6jKAAS,Evergreen Monthly;Evergreen,0jPa500000003ynEAA,3500
Standard Price Book;Additional Messages - QB Starter;Term Annual,01ua50000004WFoAAM,true,Additional Messages - QB Starter,Standard Price Book;true,01sa50000006tcvAAA,Additional Messages - QB Starter,01ta5000000A6jKAAS,Term Annual;TermDefined,0jPa500000003yoEAA,30000
Standard Price Book;Additional Data Throughput (TB);Term Monthly,01ua50000004WFpAAM,true,Additional Data Throughput (TB),Standard Price Book;true,01sa50000006tcvAAA,Additional Data Throughput (TB),01ta5000000A6jMAAS,Term Monthly;TermDefined,0jPa500000003ypEAA,3000
Standard Price Book;Additional Data Throughput (TB);Evergreen Monthly,01ua50000004WFqAAM,true,Additional Data Throughput (TB),Standard Price Book;true,01sa50000006tcvAAA,Additional Data Throughput (TB),01ta5000000A6jMAAS,Evergreen Monthly;Evergreen,0jPa500000003ynEAA,3200
Standard Price Book;Additional Data Throughput (TB);Term Annual,01ua50000004WFrAAM,true,Additional Data Throughput (TB),Standard Price Book;true,01sa50000006tcvAAA,Additional Data Throughput (TB),01ta5000000A6jMAAS,Term Annual;TermDefined,0jPa500000003yoEAA,38000
Standard Price Book;Additional Automation QB Credits;Evergreen Monthly,01ua50000004WFsAAM,true,Additional Automation QB Credits,Standard Price Book;true,01sa50000006tcvAAA,Additional Automation QB Credits,01ta5000000A6jNAAS,Evergreen Monthly;Evergreen,0jPa500000003ynEAA,2.5
Standard Price Book;Additional Automation QB Credits;Term Annual,01ua50000004WFtAAM,true,Additional Automation QB Credits,Standard Price Book;true,01sa50000006tcvAAA,Additional Automation QB Credits,01ta5000000A6jNAAS,Term Annual;TermDefined,0jPa500000003yoEAA,25
Standard Price Book;Additional API Prod;Term Annual,01ua50000004WFuAAM,true,Additional API Prod,Standard Price Book;true,01sa50000006tcvAAA,Additional API Prod,01ta5000000A6jOAAS,Term Annual;TermDefined,0jPa500000003yoEAA,3240
Standard Price Book;Additional API Pre-Prod;Term Annual,01ua50000004WFvAAM,true,Additional API Pre-Prod,Standard Price Book;true,01sa50000006tcvAAA,Additional API Pre-Prod,01ta5000000A6jPAAS,Term Annual;TermDefined,0jPa500000003yoEAA,3240
Standard Price Book;Additional API Gov;Term Annual,01ua50000004WFwAAM,true,Additional API Gov,Standard Price Book;true,01sa50000006tcvAAA,Additional API Gov,01ta5000000A6jQAAS,Term Annual;TermDefined,0jPa500000003yoEAA,1450
Standard Price Book;Additional API Flex (100M);Term Annual,01ua50000004WFxAAM,true,Additional API Flex (100M),Standard Price Book;true,01sa50000006tcvAAA,Additional API Flex (100M),01ta5000000A6jRAAS,Term Annual;TermDefined,0jPa500000003yoEAA,450
Standard Price Book;Additional QB DataGraph (500M);Term Annual,01ua50000004WFyAAM,true,Additional QB DataGraph (500M),Standard Price Book;true,01sa50000006tcvAAA,Additional QB DataGraph (500M),01ta5000000A6jTAAS,Term Annual;TermDefined,0jPa500000003yoEAA,25000
Standard Price Book;API Access Requests (AEH);Evergreen Monthly,01ua50000004WFzAAM,true,API Access Requests (AEH),Standard Price Book;true,01sa50000006tcvAAA,API Access Requests (AEH),01ta5000000A6jUAAS,Evergreen Monthly;Evergreen,0jPa500000003ynEAA,5
Standard Price Book;API Access Requests (AEH);Term Monthly,01ua50000004WG0AAM,true,API Access Requests (AEH),Standard Price Book;true,01sa50000006tcvAAA,API Access Requests (AEH),01ta5000000A6jUAAS,Term Monthly;TermDefined,0jPa500000003ypEAA,5
Standard Price Book;API Access Requests (AEH);Term Annual,01ua50000004WG1AAM,true,API Access Requests (AEH),Standard Price Book;true,01sa50000006tcvAAA,API Access Requests (AEH),01ta5000000A6jUAAS,Term Annual;TermDefined,0jPa500000003yoEAA,45
Standard Price Book;QuantumBit Fundamentals Training;One-Time,01ua50000004WG2AAM,true,QuantumBit Fundamentals Training,Standard Price Book;true,01sa50000006tcvAAA,QuantumBit Fundamentals Training,01ta5000000A6jjAAC,One-Time;OneTime,0jPa500000003yrEAA,6500
Standard Price Book;QuantumBit Essentials Training;One-Time,01ua50000004WG3AAM,true,QuantumBit Essentials Training,Standard Price Book;true,01sa50000006tcvAAA,QuantumBit Essentials Training,01ta5000000A6jkAAC,One-Time;OneTime,0jPa500000003yrEAA,8500
Standard Price Book;Professional Services Daily Rate;One-Time,01ua50000004WG4AAM,true,Professional Services Daily Rate,Standard Price Book;true,01sa50000006tcvAAA,Professional Services Daily Rate,01ta5000000A6jmAAC,One-Time;OneTime,0jPa500000003yrEAA,250
Standard Price Book;Professional Services Scope of Work;One-Time,01ua50000004WG5AAM,true,Professional Services Scope of Work,Standard Price Book;true,01sa50000006tcvAAA,Professional Services Scope of Work,01ta5000000A6jqAAC,One-Time;OneTime,0jPa500000003yrEAA,25000
Standard Price Book;Program Director;One-Time,01ua50000004WG6AAM,true,Program Director,Standard Price Book;true,01sa50000006tcvAAA,Program Director,01ta5000000A6jsAAC,One-Time;OneTime,0jPa500000003yrEAA,350
Standard Price Book;Solutions Architect;One-Time,01ua50000004WG7AAM,true,Solutions Architect,Standard Price Book;true,01sa50000006tcvAAA,Solutions Architect,01ta5000000A6jtAAC,One-Time;OneTime,0jPa500000003yrEAA,500
Standard Price Book;Project Manager;One-Time,01ua50000004WG8AAM,true,Project Manager,Standard Price Book;true,01sa50000006tcvAAA,Project Manager,01ta5000000A6juAAC,One-Time;OneTime,0jPa500000003yrEAA,300
Standard Price Book;QB API Management Solution;Term Monthly,01ua50000004WMHAA2,true,QB API Management Solution,Standard Price Book;true,01sa50000006tcvAAA,QB API Management Solution,01ta5000000A6igAAC,Term Monthly;TermDefined,0jPa500000003ypEAA,1000
Standard Price Book;QuantumBit Complete Solution;Term Monthly,01ua50000004WR7AAM,true,QuantumBit Complete Solution,Standard Price Book;true,01sa50000006tcvAAA,QuantumBit Complete Solution,01ta5000000A6ipAAC,Term Monthly;TermDefined,0jPa500000003ypEAA,0
Standard Price Book;Additional Messages - QB Starter;Term Monthly,01ua50000004WZBAA2,true,Additional Messages - QB Starter,Standard Price Book;true,01sa50000006tcvAAA,Additional Messages - QB Starter,01ta5000000A6jKAAS,Term Monthly;TermDefined,0jPa500000003ypEAA,3000
Standard Price Book;Additional Automation QB Credits;Term Monthly,01ua50000004We1AAE,true,Additional Automation QB Credits,Standard Price Book;true,01sa50000006tcvAAA,Additional Automation QB Credits,01ta5000000A6jNAAS,Term Monthly;TermDefined,0jPa500000003ypEAA,2
Global Price Book;QB API Management Solution;Term Annual,01ua50000004W1rAAE,true,QB API Management Solution,Global Price Book,01sa50000006twHAAQ,QB API Management Solution,01ta5000000A6igAAC,Term Annual;TermDefined,0jPa500000003yoEAA,12000
Global Price Book;QB API Management Solution;Evergreen Monthly,01ua50000004WNtAAM,true,QB API Management Solution,Global Price Book,01sa50000006twHAAQ,QB API Management Solution,01ta5000000A6igAAC,Evergreen Monthly;Evergreen,0jPa500000003ynEAA,1000
Global Price Book;QB API Management Solution;Term Monthly,01ua50000004WPVAA2,true,QB API Management Solution,Global Price Book,01sa50000006twHAAQ,QB API Management Solution,01ta5000000A6igAAC,Term Monthly;TermDefined,0jPa500000003ypEAA,1000
Global Price Book;QuantumBit Complete Solution;Evergreen Monthly,01ua50000004WSjAAM,true,QuantumBit Complete Solution,Global Price Book,01sa50000006twHAAQ,QuantumBit Complete Solution,01ta5000000A6ipAAC,Evergreen Monthly;Evergreen,0jPa500000003ynEAA,0
Global Price Book;QuantumBit Complete Solution;Term Annual,01ua50000004WULAA2,true,QuantumBit Complete Solution,Global Price Book,01sa50000006twHAAQ,QuantumBit Complete Solution,01ta5000000A6ipAAC,Term Annual;TermDefined,0jPa500000003yoEAA,0
Global Price Book;QuantumBit Complete Solution;One-Time,01ua50000004WVxAAM,true,QuantumBit Complete Solution,Global Price Book,01sa50000006twHAAQ,QuantumBit Complete Solution,01ta5000000A6ipAAC,One-Time;OneTime,0jPa500000003yrEAA,0
Global Price Book;QuantumBit Complete Solution;Term Monthly,01ua50000004WXZAA2,true,QuantumBit Complete Solution,Global Price Book,01sa50000006twHAAQ,QuantumBit Complete Solution,01ta5000000A6ipAAC,Term Monthly;TermDefined,0jPa500000003ypEAA,0
