$$ProductCategory.Name$Product.Name$Catalog.Name,Catalog.Name,CatalogId,Id,Product.Name,ProductCategory.$$Name$Catalog.Name$ParentCategory.Name,ProductCategoryId,ProductId
Accessories;C19 to C20 Power Cable 3';Hardware,Hardware,0ZSa50000000pc1GAA,0ZRa50000000tUaGAI,C19 to C20 Power Cable 3',Accessories;Hardware,0ZGa50000000oEZGAY,01ta5000000A6j4AAC
Accessories;C13 to C14 Power Cable 5';Hardware,Hardware,0ZSa50000000pc1GAA,0ZRa50000000tUbGAI,C13 to C14 Power Cable 5',Accessories;Hardware,0ZGa50000000oEZGAY,01ta5000000A6j3AAC
Accessories;C13 to C14 Power Cable 3';Hardware,Hardware,0ZSa50000000pc1GAA,0ZRa50000000tUcGAI,C13 to C14 Power Cable 3',Accessories;Hardware,0ZGa50000000oEZGAY,01ta5000000A6j2AAC
Accessories;Cable Containment Brackets;Hardware,Hardware,0ZSa50000000pc1GAA,0ZRa50000000tUdGAI,Cable Containment Brackets,Accessories;Hardware,0ZGa50000000oEZGAY,01ta5000000A6jcAAC
"Accessories;Vertical Cable Organizer, 8 Cable Rings;Hardware",Hardware,0ZSa50000000pc1GAA,0ZRa50000000tUeGAI,"Vertical Cable Organizer, 8 Cable Rings",Accessories;Hardware,0ZGa50000000oEZGAY,01ta5000000A6jbAAC
Accessories;QuantumShell 10U 600mmx1200mm;Hardware,Hardware,0ZSa50000000pc1GAA,0ZRa50000000tUfGAI,QuantumShell 10U 600mmx1200mm,Accessories;Hardware,0ZGa50000000oEZGAY,01ta5000000A6jfAAC
Accessories;QuantumShell 8U 600mmx1070mm;Hardware,Hardware,0ZSa50000000pc1GAA,0ZRa50000000tUgGAI,QuantumShell 8U 600mmx1070mm,Accessories;Hardware,0ZGa50000000oEZGAY,01ta5000000A6jeAAC
Accessories;QuantumShell 6U 600mmx870mm;Hardware,Hardware,0ZSa50000000pc1GAA,0ZRa50000000tUhGAI,QuantumShell 6U 600mmx870mm,Accessories;Hardware,0ZGa50000000oEZGAY,01ta5000000A6jdAAC
Maintenance;Gold Hardware Maintenance;Software,Software,0ZSa50000000pc2GAA,0ZRa50000000tUiGAI,Gold Hardware Maintenance,Maintenance;Software,0ZGa50000000oEcGAI,01ta5000000A6jBAAS
Bundle;QuantumBit Starter;Software,Software,0ZSa50000000pc2GAA,0ZRa50000000tUjGAI,QuantumBit Starter,Bundle;Software,0ZGa50000000oEYGAY,01ta5000000A6idAAC
Maintenance;Silver Hardware Maintenance;Software,Software,0ZSa50000000pc2GAA,0ZRa50000000tUkGAI,Silver Hardware Maintenance,Maintenance;Software,0ZGa50000000oEcGAI,01ta5000000A6jGAAS
Training;QuantumBit Essentials Training;Software,Software,0ZSa50000000pc2GAA,0ZRa50000000tUlGAI,QuantumBit Essentials Training,Training;Software,0ZGa50000000oEbGAI,01ta5000000A6jkAAC
Training;QuantumBit Fundamentals Training;Software,Software,0ZSa50000000pc2GAA,0ZRa50000000tUmGAI,QuantumBit Fundamentals Training,Training;Software,0ZGa50000000oEbGAI,01ta5000000A6jjAAC
API;Additional API;Software,Software,0ZSa50000000pc2GAA,0ZRa50000000tUnGAI,Additional API,API;Software,0ZGa50000000oEXGAY,01ta5000000A6ioAAC
Bundle;QuantumBit Complete Solution;Software,Software,0ZSa50000000pc2GAA,0ZRa50000000tUoGAI,QuantumBit Complete Solution,Bundle;Software,0ZGa50000000oEYGAY,01ta5000000A6ipAAC
Network Adapter;Intel X710 Dual Port 10Gb Direct Attach;Hardware,Hardware,0ZSa50000000pc1GAA,0ZRa50000000tUpGAI,Intel X710 Dual Port 10Gb Direct Attach,Network Adapter;Hardware,0ZGa50000000oEfGAI,01ta5000000A6isAAC
Network Adapter;Intel X710 Dual Port 10Gb SFP;Hardware,Hardware,0ZSa50000000pc1GAA,0ZRa50000000tUqGAI,Intel X710 Dual Port 10Gb SFP,Network Adapter;Hardware,0ZGa50000000oEfGAI,01ta5000000A6iZAAS
Hard Drive;1TB 7.2k RPM NLSAS;Hardware,Hardware,0ZSa50000000pc1GAA,0ZRa50000000tUrGAI,1TB 7.2k RPM NLSAS,Hard Drive;Hardware,0ZGa50000000oEhGAI,01ta5000000A6ijAAC
Hard Drive;4TB 7.2k RPM NLSAS;Hardware,Hardware,0ZSa50000000pc1GAA,0ZRa50000000tUsGAI,4TB 7.2k RPM NLSAS,Hard Drive;Hardware,0ZGa50000000oEhGAI,01ta5000000A6iqAAC
Hard Drive;8TB 7.2k RPM NLSAS;Hardware,Hardware,0ZSa50000000pc1GAA,0ZRa50000000tUtGAI,8TB 7.2k RPM NLSAS,Hard Drive;Hardware,0ZGa50000000oEhGAI,01ta5000000A6iXAAS
Hard Drive;8TB 7.2k RPM Self-Encrypting NLSAS;Hardware,Hardware,0ZSa50000000pc1GAA,0ZRa50000000tUuGAI,8TB 7.2k RPM Self-Encrypting NLSAS,Hard Drive;Hardware,0ZGa50000000oEhGAI,01ta5000000A6iYAAS
Services;QuantumBit Services Project;Services,Services,0ZSa50000000pc3GAA,0ZRa50000000tUvGAI,QuantumBit Services Project,Services;Services,0ZGa50000000oEjGAI,01ta5000000A6iaAAC
Accessories;Configured Power Cable;Hardware,Hardware,0ZSa50000000pc1GAA,0ZRa50000000tUwGAI,Configured Power Cable,Accessories;Hardware,0ZGa50000000oEZGAY,01ta5000000A6icAAC
Services;Professional Services Daily Rate;Services,Services,0ZSa50000000pc3GAA,0ZRa50000000tUxGAI,Professional Services Daily Rate,Services;Services,0ZGa50000000oEjGAI,01ta5000000A6jmAAC
Subscription;Subscription;Software,Software,0ZSa50000000pc2GAA,0ZRa50000000tUyGAI,Subscription,Subscription;Software,0ZGa50000000oEiGAI,01ta5000000A6iTAAS
Services;Professional Services Scope of Work;Services,Services,0ZSa50000000pc3GAA,0ZRa50000000tUzGAI,Professional Services Scope of Work,Services;Services,0ZGa50000000oEjGAI,01ta5000000A6jqAAC
Memory;32GB RDIMM;Hardware,Hardware,0ZSa50000000pc1GAA,0ZRa50000000tV0GAI,32GB RDIMM,Memory;Hardware,0ZGa50000000oEeGAI,01ta5000000A6iiAAC
Memory;8GB RDIMM;Hardware,Hardware,0ZSa50000000pc1GAA,0ZRa50000000tV1GAI,8GB RDIMM,Memory;Hardware,0ZGa50000000oEeGAI,01ta5000000A6irAAC
Memory;16GB RDIMM;Hardware,Hardware,0ZSa50000000pc1GAA,0ZRa50000000tV2GAI,16GB RDIMM,Memory;Hardware,0ZGa50000000oEeGAI,01ta5000000A6iWAAS
Server;PowerSwerve R750 Rack Server;Hardware,Hardware,0ZSa50000000pc1GAA,0ZRa50000000tV3GAI,PowerSwerve R750 Rack Server,Server;Hardware,0ZGa50000000oEkGAI,01ta5000000A6iVAAS
Processor;Intel Xeon E5-2683 v4 2.1GHz;Hardware,Hardware,0ZSa50000000pc1GAA,0ZRa50000000tV4GAI,Intel Xeon E5-2683 v4 2.1GHz,Processor;Hardware,0ZGa50000000oEgGAI,01ta5000000A6ihAAC
Processor;Intel Xeon E5-2667 v4 3.2GHz;Hardware,Hardware,0ZSa50000000pc1GAA,0ZRa50000000tV5GAI,Intel Xeon E5-2667 v4 3.2GHz,Processor;Hardware,0ZGa50000000oEgGAI,01ta5000000A6ifAAC
Processor;Intel Xeon E5-2660 v4 2.0GHz;Hardware,Hardware,0ZSa50000000pc1GAA,0ZRa50000000tV6GAI,Intel Xeon E5-2660 v4 2.0GHz,Processor;Hardware,0ZGa50000000oEgGAI,01ta5000000A6ieAAC
Processor;Intel Xeon E5-2609 v4 1.7GHz;Hardware,Hardware,0ZSa50000000pc1GAA,0ZRa50000000tV7GAI,Intel Xeon E5-2609 v4 1.7GHz,Processor;Hardware,0ZGa50000000oEgGAI,01ta5000000A6iUAAS
