$$ChildProduct.Name$ParentProduct.Name$ProductComponentGroup.Name$ProductRelationshipType.Name,ChildProduct.Name,ChildProductId,ChildProductRole,ChildSellingModel.$$Name$SellingModelType,ChildSellingModelId,DoesBundlePriceIncludeChild,Id,IsComponentRequired,IsDefaultComponent,IsQuantityEditable,MaxQuantity,MinQuantity,Name,ParentProduct.Name,ParentProductId,ParentProductRole,ParentSellingModel.$$Name$SellingModelType,ParentSellingModelId,ProductComponentGroup.$$Name$ParentProduct.Name,ProductComponentGroupId,ProductRelationshipType.Name,ProductRelationshipTypeId,Quantity,QuantityScaleMethod,Sequence
1TB 7.2k RPM NLSAS;PowerSwerve R750 Rack Server;Hard Drive;Bundle to Bundle Component Relationship,1TB 7.2k RPM NLSAS,01tao000000iPxPAAU,BundleComponent,,,true,0dSao0000001fCqEAI,false,true,false,,,PRC-000000073,PowerSwerve R750 Rack Server,01tao000000iPxDAAU,Bundle,,,Hard Drive;PowerSwerve R750 Rack Server,0y7ao00000008U7AAI,Bundle to Bundle Component Relationship,0yoao0000001gBhAAI,1,Proportional,1
4TB 7.2k RPM NLSAS;PowerSwerve R750 Rack Server;Hard Drive;Bundle to Bundle Component Relationship,4TB 7.2k RPM NLSAS,01tao000000iPxSAAU,BundleComponent,,,true,0dSao0000001fCsEAI,false,false,false,,,PRC-000000074,PowerSwerve R750 Rack Server,01tao000000iPxDAAU,Bundle,,,Hard Drive;PowerSwerve R750 Rack Server,0y7ao00000008U7AAI,Bundle to Bundle Component Relationship,0yoao0000001gBhAAI,1,Proportional,2
8GB RDIMM;PowerSwerve R750 Rack Server;Memory Capacity;Bundle to Bundle Component Relationship,8GB RDIMM,01tao000000iPxTAAU,BundleComponent,,,true,0dSao0000001fCuEAI,false,true,false,,,PRC-000000086,PowerSwerve R750 Rack Server,01tao000000iPxDAAU,Bundle,,,Memory Capacity;PowerSwerve R750 Rack Server,0y7ao00000008U6AAI,Bundle to Bundle Component Relationship,0yoao0000001gBhAAI,1,Proportional,1
Intel X710 Dual Port 10Gb Direct Attach;PowerSwerve R750 Rack Server;Network Adapter;Bundle to Bundle Component Relationship,Intel X710 Dual Port 10Gb Direct Attach,01tao000000iPxUAAU,BundleComponent,,,true,0dSao0000001fCwEAI,false,true,false,,,PRC-000000081,PowerSwerve R750 Rack Server,01tao000000iPxDAAU,Bundle,,,Network Adapter;PowerSwerve R750 Rack Server,0y7ao00000008UBAAY,Bundle to Bundle Component Relationship,0yoao0000001gBhAAI,1,Proportional,1
Intel Xeon E5-2609 v4 1.7GHz;PowerSwerve R750 Rack Server;Processor;Bundle to Bundle Component Relationship,Intel Xeon E5-2609 v4 1.7GHz,01tao000000iPxCAAU,BundleComponent,,,true,0dSao0000001fCyEAI,false,false,false,,,PRC-000000078,PowerSwerve R750 Rack Server,01tao000000iPxDAAU,Bundle,,,Processor;PowerSwerve R750 Rack Server,0y7ao00000008U8AAI,Bundle to Bundle Component Relationship,0yoao0000001gBhAAI,1,Proportional,2
16GB RDIMM;PowerSwerve R750 Rack Server;Memory Capacity;Bundle to Bundle Component Relationship,16GB RDIMM,01tao000000iPxEAAU,BundleComponent,,,true,0dSao0000001fD0EAI,false,false,false,,,PRC-000000087,PowerSwerve R750 Rack Server,01tao000000iPxDAAU,Bundle,,,Memory Capacity;PowerSwerve R750 Rack Server,0y7ao00000008U6AAI,Bundle to Bundle Component Relationship,0yoao0000001gBhAAI,1,Proportional,2
8TB 7.2k RPM NLSAS;PowerSwerve R750 Rack Server;Hard Drive;Bundle to Bundle Component Relationship,8TB 7.2k RPM NLSAS,01tao000000iPxFAAU,BundleComponent,,,true,0dSao0000001fD2EAI,false,false,false,,,PRC-000000075,PowerSwerve R750 Rack Server,01tao000000iPxDAAU,Bundle,,,Hard Drive;PowerSwerve R750 Rack Server,0y7ao00000008U7AAI,Bundle to Bundle Component Relationship,0yoao0000001gBhAAI,1,Proportional,3
8TB 7.2k RPM Self-Encrypting NLSAS;PowerSwerve R750 Rack Server;Hard Drive;Bundle to Bundle Component Relationship,8TB 7.2k RPM Self-Encrypting NLSAS,01tao000000iPxGAAU,BundleComponent,,,true,0dSao0000001fD4EAI,false,false,false,,,PRC-000000076,PowerSwerve R750 Rack Server,01tao000000iPxDAAU,Bundle,,,Hard Drive;PowerSwerve R750 Rack Server,0y7ao00000008U7AAI,Bundle to Bundle Component Relationship,0yoao0000001gBhAAI,1,Proportional,4
Intel X710 Dual Port 10Gb SFP;PowerSwerve R750 Rack Server;Network Adapter;Bundle to Bundle Component Relationship,Intel X710 Dual Port 10Gb SFP,01tao000000iPxHAAU,BundleComponent,,,true,0dSao0000001fD6EAI,false,false,false,,,PRC-000000082,PowerSwerve R750 Rack Server,01tao000000iPxDAAU,Bundle,,,Network Adapter;PowerSwerve R750 Rack Server,0y7ao00000008UBAAY,Bundle to Bundle Component Relationship,0yoao0000001gBhAAI,1,Proportional,2
Intel Xeon E5-2660 v4 2.0GHz;PowerSwerve R750 Rack Server;Processor;Bundle to Bundle Component Relationship,Intel Xeon E5-2660 v4 2.0GHz,01tao000000iPxLAAU,BundleComponent,,,true,0dSao0000001fD8EAI,false,false,false,,,PRC-000000079,PowerSwerve R750 Rack Server,01tao000000iPxDAAU,Bundle,,,Processor;PowerSwerve R750 Rack Server,0y7ao00000008U8AAI,Bundle to Bundle Component Relationship,0yoao0000001gBhAAI,1,Proportional,3
Intel Xeon E5-2667 v4 3.2GHz;PowerSwerve R750 Rack Server;Processor;Bundle to Bundle Component Relationship,Intel Xeon E5-2667 v4 3.2GHz,01tao000000iPxMAAU,BundleComponent,,,true,0dSao0000001fDAEAY,false,true,false,,,PRC-000000077,PowerSwerve R750 Rack Server,01tao000000iPxDAAU,Bundle,,,Processor;PowerSwerve R750 Rack Server,0y7ao00000008U8AAI,Bundle to Bundle Component Relationship,0yoao0000001gBhAAI,1,Proportional,1
Intel Xeon E5-2683 v4 2.1GHz;PowerSwerve R750 Rack Server;Processor;Bundle to Bundle Component Relationship,Intel Xeon E5-2683 v4 2.1GHz,01tao000000iPxNAAU,BundleComponent,,,true,0dSao0000001fDCEAY,false,false,false,,,PRC-000000080,PowerSwerve R750 Rack Server,01tao000000iPxDAAU,Bundle,,,Processor;PowerSwerve R750 Rack Server,0y7ao00000008U8AAI,Bundle to Bundle Component Relationship,0yoao0000001gBhAAI,1,Proportional,4
Integration Specialist Engineer;QuantumBit Services Project;Engineering_Resources;Bundle to Bundle Component Relationship,Integration Specialist Engineer,01tao000000iPxxAAE,BundleComponent,,,false,0dSao0000001fDEEAY,false,false,true,,,PRC-000000070,QuantumBit Services Project,01tao000000iPxIAAU,Bundle,,,Engineering_Resources;QuantumBit Services Project,0y7ao00000008UCAAY,Bundle to Bundle Component Relationship,0yoao0000001gBhAAI,8,,5
Module Extension Engineer;QuantumBit Services Project;Engineering_Resources;Bundle to Bundle Component Relationship,Module Extension Engineer,01tao000000iPxyAAE,BundleComponent,,,false,0dSao0000001fDGEAY,false,false,true,,,PRC-000000069,QuantumBit Services Project,01tao000000iPxIAAU,Bundle,,,Engineering_Resources;QuantumBit Services Project,0y7ao00000008UCAAY,Bundle to Bundle Component Relationship,0yoao0000001gBhAAI,8,,3
Quality Assurance Engineer;QuantumBit Services Project;Engineering_Resources;Bundle to Bundle Component Relationship,Quality Assurance Engineer,01tao000000iPxzAAE,BundleComponent,,,false,0dSao0000001fDIEAY,false,false,true,,,PRC-000000068,QuantumBit Services Project,01tao000000iPxIAAU,Bundle,,,Engineering_Resources;QuantumBit Services Project,0y7ao00000008UCAAY,Bundle to Bundle Component Relationship,0yoao0000001gBhAAI,8,,4
Data Normalization Expert;QuantumBit Services Project;Engineering_Resources;Bundle to Bundle Component Relationship,Data Normalization Expert,01tao000000iPy0AAE,BundleComponent,,,false,0dSao0000001fDKEAY,false,false,true,,,PRC-000000071,QuantumBit Services Project,01tao000000iPxIAAU,Bundle,,,Engineering_Resources;QuantumBit Services Project,0y7ao00000008UCAAY,Bundle to Bundle Component Relationship,0yoao0000001gBhAAI,8,,2
Implementation Engineer;QuantumBit Services Project;Engineering_Resources;Bundle to Bundle Component Relationship,Implementation Engineer,01tao000000iPxwAAE,BundleComponent,,,false,0dSao0000001fDMEAY,false,false,true,,,PRC-000000067,QuantumBit Services Project,01tao000000iPxIAAU,Bundle,,,Engineering_Resources;QuantumBit Services Project,0y7ao00000008UCAAY,Bundle to Bundle Component Relationship,0yoao0000001gBhAAI,8,,1
Program Director;QuantumBit Services Project;Project_Management;Bundle to Bundle Component Relationship,Program Director,01tao000000iPy1AAE,BundleComponent,,,false,0dSao0000001fDOEAY,false,false,true,,,PRC-000000083,QuantumBit Services Project,01tao000000iPxIAAU,Bundle,,,Project_Management;QuantumBit Services Project,0y7ao00000008UAAAY,Bundle to Bundle Component Relationship,0yoao0000001gBhAAI,8,,1
Solutions Architect;QuantumBit Services Project;Solution_Architecture;Bundle to Bundle Component Relationship,Solutions Architect,01tao000000iPy2AAE,BundleComponent,,,false,0dSao0000001fDQEAY,false,true,true,,,PRC-000000085,QuantumBit Services Project,01tao000000iPxIAAU,Bundle,,,Solution_Architecture;QuantumBit Services Project,0y7ao00000008U9AAI,Bundle to Bundle Component Relationship,0yoao0000001gBhAAI,8,,1
Project Manager;QuantumBit Services Project;Project_Management;Bundle to Bundle Component Relationship,Project Manager,01tao000000iPy3AAE,BundleComponent,,,false,0dSao0000001fDSEAY,true,true,true,,,PRC-000000084,QuantumBit Services Project,01tao000000iPxIAAU,Bundle,,,Project_Management;QuantumBit Services Project,0y7ao00000008UAAAY,Bundle to Bundle Component Relationship,0yoao0000001gBhAAI,8,,2
Gold Hardware Maintenance;QuantumBit Starter;Maintenance;Bundle to Bundle Component Relationship,Gold Hardware Maintenance,01tao000000iPxbAAE,BundleComponent,,,false,0dSao0000001fDUEAY,false,false,false,,,PRC-000000054,QuantumBit Starter,01tao000000iPxKAAU,Bundle,,,Maintenance;QuantumBit Starter,0y7ao00000008U1AAI,Bundle to Bundle Component Relationship,0yoao0000001gBhAAI,1,Proportional,
Silver Hardware Maintenance;QuantumBit Starter;Maintenance;Bundle to Bundle Component Relationship,Silver Hardware Maintenance,01tao000000iPxcAAE,BundleComponent,,,false,0dSao0000001fDWEAY,false,true,false,,,PRC-000000055,QuantumBit Starter,01tao000000iPxKAAU,Bundle,,,Maintenance;QuantumBit Starter,0y7ao00000008U1AAI,Bundle to Bundle Component Relationship,0yoao0000001gBhAAI,1,Proportional,
QuantumBit Fundamentals Training;QuantumBit Starter;Training;Bundle to Bundle Component Relationship,QuantumBit Fundamentals Training,01tao000000iPxsAAE,BundleComponent,,,false,0dSao0000001fDYEAY,false,false,false,,,PRC-000000052,QuantumBit Starter,01tao000000iPxKAAU,Bundle,,,Training;QuantumBit Starter,0y7ao00000008U2AAI,Bundle to Bundle Component Relationship,0yoao0000001gBhAAI,1,Proportional,
QuantumBit Essentials Training;QuantumBit Starter;Training;Bundle to Bundle Component Relationship,QuantumBit Essentials Training,01tao000000iPxtAAE,BundleComponent,,,false,0dSao0000001fDaEAI,false,true,false,,,PRC-000000053,QuantumBit Starter,01tao000000iPxKAAU,Bundle,,,Training;QuantumBit Starter,0y7ao00000008U2AAI,Bundle to Bundle Component Relationship,0yoao0000001gBhAAI,1,Proportional,
