$$Product2.Name$ProductSellingModel.Name,Id,IsDefault,Product2.Name,Product2Id,ProductSellingModel.$$Name$SellingModelType,ProductSellingModelId,ProrationPolicy.Name,ProrationPolicyId
Intel X710 Dual Port 10Gb Direct Attach;One-Time,0iOal00000001UTEAY,true,Intel X710 Dual Port 10Gb Direct Attach,01tal000000Vw1kAAC,One-Time;OneTime,0jPal00000001PBEAY,,
Implementation Engineer;One-Time,0iOal00000001UUEAY,true,Implementation Engineer,01tal000000Vw1RAAS,One-Time;OneTime,0jPal00000001PBEAY,,
Intel Xeon E5-2683 v4 2.1GHz;One-Time,0iOal00000001UVEAY,true,Intel Xeon E5-2683 v4 2.1GHz,01tal000000Vw1ZAAS,One-Time;OneTime,0jPal00000001PBEAY,,
Data Normalization Expert;One-Time,0iOal00000001UWEAY,true,Data Normalization Expert,01tal000000Vw1fAAC,One-Time;OneTime,0jPal00000001PBEAY,,
Intel Xeon E5-2609 v4 1.7GHz;One-Time,0iOal00000001UXEAY,true,Intel Xeon E5-2609 v4 1.7GHz,01tal000000Vw1KAAS,One-Time;OneTime,0jPal00000001PBEAY,,
PowerSwerve R750 Rack Server;One-Time,0iOal00000001UYEAY,true,PowerSwerve R750 Rack Server,01tal000000Vw1LAAS,One-Time;OneTime,0jPal00000001PBEAY,,
8GB RDIMM;One-Time,0iOal00000001UZEAY,true,8GB RDIMM,01tal000000Vw1jAAC,One-Time;OneTime,0jPal00000001PBEAY,,
32GB RDIMM;One-Time,0iOal00000001UaEAI,true,32GB RDIMM,01tal000000Vw1aAAC,One-Time;OneTime,0jPal00000001PBEAY,,
1TB 7.2k RPM NLSAS;One-Time,0iOal00000001UbEAI,true,1TB 7.2k RPM NLSAS,01tal000000Vw1bAAC,One-Time;OneTime,0jPal00000001PBEAY,,
Intel X710 Dual Port 10Gb SFP;One-Time,0iOal00000001UcEAI,true,Intel X710 Dual Port 10Gb SFP,01tal000000Vw1PAAS,One-Time;OneTime,0jPal00000001PBEAY,,
Integration Specialist Engineer;One-Time,0iOal00000001UdEAI,true,Integration Specialist Engineer,01tal000000Vw1cAAC,One-Time;OneTime,0jPal00000001PBEAY,,
Solutions Architect;One-Time,0iOal00000001UeEAI,true,Solutions Architect,01tal000000Vw2lAAC,One-Time;OneTime,0jPal00000001PBEAY,,
Configured Power Cable;One-Time,0iOal00000001UfEAI,true,Configured Power Cable,01tal000000Vw1TAAS,One-Time;OneTime,0jPal00000001PBEAY,,
Subscription;Evergreen Monthly,0iOal00000001UgEAI,true,Subscription,01tal000000Vw1JAAS,Evergreen Monthly;Evergreen,0jPal00000001P7EAI,Default Proration Policy,0mual000000054XAAQ
Professional Services Daily Rate;One-Time,0iOal00000001UhEAI,true,Professional Services Daily Rate,01tal000000Vw2eAAC,One-Time;OneTime,0jPal00000001PBEAY,,
Professional Services Scope of Work;One-Time,0iOal00000001UiEAI,true,Professional Services Scope of Work,01tal000000Vw2iAAC,One-Time;OneTime,0jPal00000001PBEAY,,
Subscription;Term Monthly,0iOal00000001UjEAI,false,Subscription,01tal000000Vw1JAAS,Term Monthly;TermDefined,0jPal00000001P9EAI,Default Proration Policy,0mual000000054XAAQ
Intel Xeon E5-2667 v4 3.2GHz;One-Time,0iOal00000001UkEAI,true,Intel Xeon E5-2667 v4 3.2GHz,01tal000000Vw1XAAS,One-Time;OneTime,0jPal00000001PBEAY,,
Project Manager;One-Time,0iOal00000001UlEAI,true,Project Manager,01tal000000Vw2mAAC,One-Time;OneTime,0jPal00000001PBEAY,,
QB API Management Solution;Evergreen Monthly,0iOal00000003p7EAA,false,QB API Management Solution,01tal000000Vw1YAAS,Evergreen Monthly;Evergreen,0jPal00000001P7EAI,Default Proration Policy,0mual000000054XAAQ
QuantumBit Complete Solution;Evergreen Monthly,0iOal00000003p8EAA,false,QuantumBit Complete Solution,01tal000000Vw1hAAC,Evergreen Monthly;Evergreen,0jPal00000001P7EAI,Default Proration Policy,0mual000000054XAAQ
API Access Requests (AEH);Term Monthly,0iOal00000003p9EAA,true,API Access Requests (AEH),01tal000000Vw2MAAS,Term Monthly;TermDefined,0jPal00000001P9EAI,Default Proration Policy,0mual000000054XAAQ
QuantumBit Complete Solution;One-Time,0iOal00000003pAEAQ,false,QuantumBit Complete Solution,01tal000000Vw1hAAC,One-Time;OneTime,0jPal00000001PBEAY,,
Additional Messages - QB Starter;Evergreen Monthly,0iOal00000003pCEAQ,false,Additional Messages - QB Starter,01tal000000Vw2CAAS,Evergreen Monthly;Evergreen,0jPal00000001P7EAI,Default Proration Policy,0mual000000054XAAQ
Additional Data Throughput (TB);Evergreen Monthly,0iOal00000003pDEAQ,false,Additional Data Throughput (TB),01tal000000Vw2EAAS,Evergreen Monthly;Evergreen,0jPal00000001P7EAI,Default Proration Policy,0mual000000054XAAQ
Additional Flows - QB Starter;Evergreen Monthly,0iOal00000003pEEAQ,false,Additional Flows - QB Starter,01tal000000Vw2AAAS,Evergreen Monthly;Evergreen,0jPal00000001P7EAI,Default Proration Policy,0mual000000054XAAQ
API Access Requests (AEH);Evergreen Monthly,0iOal00000003pFEAQ,false,API Access Requests (AEH),01tal000000Vw2MAAS,Evergreen Monthly;Evergreen,0jPal00000001P7EAI,Default Proration Policy,0mual000000054XAAQ
Additional Automation QB Credits;Evergreen Monthly,0iOal00000003pGEAQ,false,Additional Automation QB Credits,01tal000000Vw2FAAS,Evergreen Monthly;Evergreen,0jPal00000001P7EAI,Default Proration Policy,0mual000000054XAAQ
Additional Flows - QB Starter;Term Monthly,0iOal00000003pHEAQ,true,Additional Flows - QB Starter,01tal000000Vw2AAAS,Term Monthly;TermDefined,0jPal00000001P9EAI,Default Proration Policy,0mual000000054XAAQ
Additional Data Throughput (TB);Term Monthly,0iOal00000003pIEAQ,true,Additional Data Throughput (TB),01tal000000Vw2EAAS,Term Monthly;TermDefined,0jPal00000001P9EAI,Default Proration Policy,0mual000000054XAAQ
QB API Management Solution;Term Monthly,0iOal00000004urEAA,true,QB API Management Solution,01tal000000Vw1YAAS,Term Monthly;TermDefined,0jPal00000001P9EAI,Default Proration Policy,0mual000000054XAAQ
QuantumBit Complete Solution;Term Monthly,0iOal00000004usEAA,false,QuantumBit Complete Solution,01tal000000Vw1hAAC,Term Monthly;TermDefined,0jPal00000001P9EAI,Default Proration Policy,0mual000000054XAAQ
Additional Messages - QB Starter;Term Monthly,0iOal00000004utEAA,true,Additional Messages - QB Starter,01tal000000Vw2CAAS,Term Monthly;TermDefined,0jPal00000001P9EAI,Default Proration Policy,0mual000000054XAAQ
Additional Automation QB Credits;Term Monthly,0iOal00000004uuEAA,true,Additional Automation QB Credits,01tal000000Vw2FAAS,Term Monthly;TermDefined,0jPal00000001P9EAI,Default Proration Policy,0mual000000054XAAQ
Subscription;Term Annual,0iOal0000000CIvEAM,false,Subscription,01tal000000Vw1JAAS,Term Annual;TermDefined,0jPal00000001P8EAI,Default Proration Policy,0mual000000054XAAQ
Subscription;Evergreen Annual,0iOal0000000CIwEAM,false,Subscription,01tal000000Vw1JAAS,Evergreen Annual;Evergreen,0jPal00000001PAEAY,Default Proration Policy,0mual000000054XAAQ
