$$Product.Name$ProductCategory.Name$Catalog.Name,Catalog.Name,CatalogId,Id,Product.Name,ProductCategory.$$Name$ParentCategory.Name,ProductCategoryId,ProductId
Additional API Flex (100M);API;Software,Software,0ZSal0000001AuzGAE,0ZRal0000000x3sGAA,Additional API Flex (100M),API,0ZGal0000001ALVGA2,01tal000000XG1iAAG
Additional QB DataGraph (500M);API;Software,Software,0ZSal0000001AuzGAE,0ZRal0000000x3tGAA,Additional QB DataGraph (500M),API,0ZGal0000001ALVGA2,01tal000000XG1jAAG
API Access Requests (AEH);API;Software,Software,0ZSal0000001AuzGAE,0ZRal0000000x3uGAA,API Access Requests (AEH),API,0ZGal0000001ALVGA2,01tal000000XG1kAAG
Cable Management Rings (Qty 10);Accessories;Hardware,Hardware,0ZSal0000001Av0GAE,0ZRal0000000x3vGAA,Cable Management Rings (Qty 10),Accessories,0ZGal0000001ALXGA2,01tal000000XG1lAAG
"Vertical Cable Organizer, 8 Cable Rings;Accessories;Hardware",Hardware,0ZSal0000001Av0GAE,0ZRal0000000x3wGAA,"Vertical Cable Organizer, 8 Cable Rings",Accessories,0ZGal0000001ALXGA2,01tal000000XG1mAAG
Cable Containment Brackets;Accessories;Hardware,Hardware,0ZSal0000001Av0GAE,0ZRal0000000x3xGAA,Cable Containment Brackets,Accessories,0ZGal0000001ALXGA2,01tal000000XG1nAAG
QuantumShell 6U 600mmx870mm;Accessories;Hardware,Hardware,0ZSal0000001Av0GAE,0ZRal0000000x3yGAA,QuantumShell 6U 600mmx870mm,Accessories,0ZGal0000001ALXGA2,01tal000000XG1oAAG
QuantumShell 8U 600mmx1070mm;Accessories;Hardware,Hardware,0ZSal0000001Av0GAE,0ZRal0000000x3zGAA,QuantumShell 8U 600mmx1070mm,Accessories,0ZGal0000001ALXGA2,01tal000000XG1pAAG
QuantumShell 10U 600mmx1200mm;Accessories;Hardware,Hardware,0ZSal0000001Av0GAE,0ZRal0000000x40GAA,QuantumShell 10U 600mmx1200mm,Accessories,0ZGal0000001ALXGA2,01tal000000XG1qAAG
QuantumBit Enterprise;Bundle;Software,Software,0ZSal0000001AuzGAE,0ZRal0000000x41GAA,QuantumBit Enterprise,Bundle,0ZGal0000001ALWGA2,01tal000000XG1rAAG
QuantumBit Business Critical;Bundle;Software,Software,0ZSal0000001AuzGAE,0ZRal0000000x42GAA,QuantumBit Business Critical,Bundle,0ZGal0000001ALWGA2,01tal000000XG1sAAG
QuantumBit Fundamentals Training;Training;Software,Software,0ZSal0000001AuzGAE,0ZRal0000000x43GAA,QuantumBit Fundamentals Training,Training,0ZGal0000001ALZGA2,01tal000000XG1tAAG
QuantumBit Essentials Training;Training;Software,Software,0ZSal0000001AuzGAE,0ZRal0000000x44GAA,QuantumBit Essentials Training,Training,0ZGal0000001ALZGA2,01tal000000XG1uAAG
Professional Services Daily Rate;Services;Services,Services,0ZSal0000001Av1GAE,0ZRal0000000x45GAA,Professional Services Daily Rate,Services,0ZGal0000001ALhGAM,01tal000000XG1vAAG
Professional Services Scope of Work;Services;Services,Services,0ZSal0000001Av1GAE,0ZRal0000000x46GAA,Professional Services Scope of Work,Services,0ZGal0000001ALhGAM,01tal000000XG1wAAG
