$$Product2.Name$ProductSellingModel.Name$ProrationPolicy.Name,Id,IsDefault,Product2.Name,Product2Id,ProductSellingModel.Name,ProductSellingModelId,ProrationPolicy.Name,ProrationPolicyId
Intel X710 Dual Port 10Gb Direct Attach;One-Time,0iOal00000003HlEAI,true,Intel X710 Dual Port 10Gb Direct Attach,01tal000000XG1VAAW,One-Time,0jPal000000034MEAQ,,
Implementation Engineer;One-Time,0iOal00000003HmEAI,true,Implementation Engineer,01tal000000XG1yAAG,One-Time,0jPal000000034MEAQ,,
Intel Xeon E5-2683 v4 2.1GHz;One-Time,0iOal00000003HnEAI,true,Intel Xeon E5-2683 v4 2.1GHz,01tal000000XG1OAAW,One-Time,0jPal000000034MEAQ,,
Data Normalization Expert;One-Time,0iOal00000003HoEAI,true,Data Normalization Expert,01tal000000XG22AAG,One-Time,0jPal000000034MEAQ,,
Intel Xeon E5-2609 v4 1.7GHz;One-Time,0iOal00000003HpEAI,true,Intel Xeon E5-2609 v4 1.7GHz,01tal000000XG1CAAW,One-Time,0jPal000000034MEAQ,,
PowerSwerve R750 Rack Server;One-Time,0iOal00000003HqEAI,true,PowerSwerve R750 Rack Server,01tal000000XG1DAAW,One-Time,0jPal000000034MEAQ,,
8GB RDIMM;One-Time,0iOal00000003HrEAI,true,8GB RDIMM,01tal000000XG1UAAW,One-Time,0jPal000000034MEAQ,,
32GB RDIMM;One-Time,0iOal00000003HsEAI,true,32GB RDIMM,01tal000000XG1PAAW,One-Time,0jPal000000034MEAQ,,
1TB 7.2k RPM NLSAS;One-Time,0iOal00000003HtEAI,true,1TB 7.2k RPM NLSAS,01tal000000XG1QAAW,One-Time,0jPal000000034MEAQ,,
Intel X710 Dual Port 10Gb SFP;One-Time,0iOal00000003HuEAI,true,Intel X710 Dual Port 10Gb SFP,01tal000000XG1HAAW,One-Time,0jPal000000034MEAQ,,
Integration Specialist Engineer;One-Time,0iOal00000003HvEAI,true,Integration Specialist Engineer,01tal000000XG1zAAG,One-Time,0jPal000000034MEAQ,,
Solutions Architect;One-Time,0iOal00000003HwEAI,true,Solutions Architect,01tal000000XG24AAG,One-Time,0jPal000000034MEAQ,,
Configured Power Cable;One-Time,0iOal00000003HxEAI,true,Configured Power Cable,01tal000000XG1KAAW,One-Time,0jPal000000034MEAQ,,
Subscription;Evergreen Monthly;Default Proration Policy,0iOal00000003HyEAI,true,Subscription,01tal000000XG1BAAW,Evergreen Monthly,0jPal000000034OEAQ,Default Proration Policy,0mual00000006rpAAA
Professional Services Daily Rate;One-Time,0iOal00000003HzEAI,true,Professional Services Daily Rate,01tal000000XG1vAAG,One-Time,0jPal000000034MEAQ,,
Professional Services Scope of Work;One-Time,0iOal00000003I0EAI,true,Professional Services Scope of Work,01tal000000XG1wAAG,One-Time,0jPal000000034MEAQ,,
Subscription;Term Monthly;Default Proration Policy,0iOal00000003I1EAI,false,Subscription,01tal000000XG1BAAW,Term Monthly,0jPal000000034NEAQ,Default Proration Policy,0mual00000006rpAAA
Intel Xeon E5-2667 v4 3.2GHz;One-Time,0iOal00000003I2EAI,true,Intel Xeon E5-2667 v4 3.2GHz,01tal000000XG1NAAW,One-Time,0jPal000000034MEAQ,,
Project Manager;One-Time,0iOal00000003I3EAI,true,Project Manager,01tal000000XG25AAG,One-Time,0jPal000000034MEAQ,,
QB API Management Solution;Evergreen Monthly;Default Proration Policy,0iOal00000003M5EAI,false,QB API Management Solution,01tal000000XG26AAG,Evergreen Monthly,0jPal000000034OEAQ,Default Proration Policy,0mual00000006rpAAA
QuantumBit Complete Solution;Evergreen Monthly;Default Proration Policy,0iOal00000003NhEAI,false,QuantumBit Complete Solution,01tal000000XG1SAAW,Evergreen Monthly,0jPal000000034OEAQ,Default Proration Policy,0mual00000006rpAAA
API Access Requests (AEH);Term Monthly;Default Proration Policy,0iOal00000003NiEAI,false,API Access Requests (AEH),01tal000000XG1kAAG,Term Monthly,0jPal000000034NEAQ,Default Proration Policy,0mual00000006rpAAA
QuantumBit Complete Solution;One-Time,0iOal00000003PJEAY,false,QuantumBit Complete Solution,01tal000000XG1SAAW,One-Time,0jPal000000034MEAQ,,
QB API Management Solution;One-Time,0iOal00000003QvEAI,false,QB API Management Solution,01tal000000XG26AAG,One-Time,0jPal000000034MEAQ,,
Additional Messages - QB Starter;Evergreen Monthly;Default Proration Policy,0iOal00000003SXEAY,false,Additional Messages - QB Starter,01tal000000XG28AAG,Evergreen Monthly,0jPal000000034OEAQ,Default Proration Policy,0mual00000006rpAAA
Additional Data Throughput (TB);Evergreen Monthly;Default Proration Policy,0iOal00000003U9EAI,false,Additional Data Throughput (TB),01tal000000XG29AAG,Evergreen Monthly,0jPal000000034OEAQ,Default Proration Policy,0mual00000006rpAAA
Additional Flows - QB Starter;Evergreen Monthly;Default Proration Policy,0iOal00000003VlEAI,false,Additional Flows - QB Starter,01tal000000XG27AAG,Evergreen Monthly,0jPal000000034OEAQ,Default Proration Policy,0mual00000006rpAAA
API Access Requests (AEH);Evergreen Monthly;Default Proration Policy,0iOal00000003XNEAY,false,API Access Requests (AEH),01tal000000XG1kAAG,Evergreen Monthly,0jPal000000034OEAQ,Default Proration Policy,0mual00000006rpAAA
Additional Automation QB Credits;Evergreen Monthly;Default Proration Policy,0iOal00000003YzEAI,false,Additional Automation QB Credits,01tal000000XG1eAAG,Evergreen Monthly,0jPal000000034OEAQ,Default Proration Policy,0mual00000006rpAAA
Additional Flows - QB Starter;Term Monthly;Default Proration Policy,0iOal00000003abEAA,false,Additional Flows - QB Starter,01tal000000XG27AAG,Term Monthly,0jPal000000034NEAQ,Default Proration Policy,0mual00000006rpAAA
Additional Data Throughput (TB);Term Monthly;Default Proration Policy,0iOal00000003cDEAQ,false,Additional Data Throughput (TB),01tal000000XG29AAG,Term Monthly,0jPal000000034NEAQ,Default Proration Policy,0mual00000006rpAAA
