$$Name$ParentProduct.Name$ProductComponentGroup.Name$ChildProduct.Name,ChildProduct.Name,ChildProductId,ChildProductRole,ChildSellingModel.Name,ChildSellingModelId,DoesBundlePriceIncludeChild,Id,IsComponentRequired,IsDefaultComponent,IsQuantityEditable,MaxQuantity,MinQuantity,Name,ParentProduct.Name,ParentProductId,ParentProductRole,ParentSellingModel.Name,ParentSellingModelId,ProductComponentGroup.$$Name$ParentProduct.Name,ProductComponentGroupId,ProductRelationshipType.Name,ProductRelationshipTypeId,Quantity,QuantityScaleMethod,Sequence
PRC-000000023;QuantumBit Complete Solution;Services;Professional Services Scope of Work,Professional Services Scope of Work,01tal000000XG1wAAG,BundleComponent,,,true,0dSal0000000eLnEAI,false,false,false,,,PRC-000000023,QuantumBit Complete Solution,01tal000000XG1SAAW,Bundle,,,Services;QuantumBit Complete Solution,0y7al00000001djAAA,Bundle to Bundle Component Relationship,0yoal0000000ci1AAA,1,Proportional,20
PRC-000000019;QuantumBit Complete Solution;Software;API Access Requests (AEH),API Access Requests (AEH),01tal000000XG1kAAG,BundleComponent,,,false,0dSal0000000eLoEAI,false,false,true,,,PRC-000000019,QuantumBit Complete Solution,01tal000000XG1SAAW,Bundle,,,Software;QuantumBit Complete Solution,0y7al00000001dhAAA,Bundle to Bundle Component Relationship,0yoal0000000ci1AAA,100,,70
PRC-000000051;PowerSwerve R750 Rack Server;Memory Capacity;32GB RDIMM,32GB RDIMM,01tal000000XG1PAAW,BundleComponent,,,true,0dSal0000000eLpEAI,false,false,false,,,PRC-000000051,PowerSwerve R750 Rack Server,01tal000000XG1DAAW,Bundle,,,Memory Capacity;PowerSwerve R750 Rack Server,0y7al00000001dkAAA,Bundle to Bundle Component Relationship,0yoal0000000ci1AAA,1,Proportional,3
PRC-000000036;PowerSwerve R750 Rack Server;Hard Drive;1TB 7.2k RPM NLSAS,1TB 7.2k RPM NLSAS,01tal000000XG1QAAW,BundleComponent,,,true,0dSal0000000eLqEAI,false,true,false,,,PRC-000000036,PowerSwerve R750 Rack Server,01tal000000XG1DAAW,Bundle,,,Hard Drive;PowerSwerve R750 Rack Server,0y7al00000001dlAAA,Bundle to Bundle Component Relationship,0yoal0000000ci1AAA,1,Proportional,1
PRC-000000037;PowerSwerve R750 Rack Server;Hard Drive;4TB 7.2k RPM NLSAS,4TB 7.2k RPM NLSAS,01tal000000XG1TAAW,BundleComponent,,,true,0dSal0000000eLrEAI,false,false,false,,,PRC-000000037,PowerSwerve R750 Rack Server,01tal000000XG1DAAW,Bundle,,,Hard Drive;PowerSwerve R750 Rack Server,0y7al00000001dlAAA,Bundle to Bundle Component Relationship,0yoal0000000ci1AAA,1,Proportional,2
PRC-000000049;PowerSwerve R750 Rack Server;Memory Capacity;8GB RDIMM,8GB RDIMM,01tal000000XG1UAAW,BundleComponent,,,true,0dSal0000000eLsEAI,false,true,false,,,PRC-000000049,PowerSwerve R750 Rack Server,01tal000000XG1DAAW,Bundle,,,Memory Capacity;PowerSwerve R750 Rack Server,0y7al00000001dkAAA,Bundle to Bundle Component Relationship,0yoal0000000ci1AAA,1,Proportional,1
PRC-000000044;PowerSwerve R750 Rack Server;Network Adapter;Intel X710 Dual Port 10Gb Direct Attach,Intel X710 Dual Port 10Gb Direct Attach,01tal000000XG1VAAW,BundleComponent,,,true,0dSal0000000eLtEAI,false,true,false,,,PRC-000000044,PowerSwerve R750 Rack Server,01tal000000XG1DAAW,Bundle,,,Network Adapter;PowerSwerve R750 Rack Server,0y7al00000001dpAAA,Bundle to Bundle Component Relationship,0yoal0000000ci1AAA,1,Proportional,1
PRC-000000041;PowerSwerve R750 Rack Server;Processor;Intel Xeon E5-2609 v4 1.7GHz,Intel Xeon E5-2609 v4 1.7GHz,01tal000000XG1CAAW,BundleComponent,,,true,0dSal0000000eLuEAI,false,false,false,,,PRC-000000041,PowerSwerve R750 Rack Server,01tal000000XG1DAAW,Bundle,,,Processor;PowerSwerve R750 Rack Server,0y7al00000001dmAAA,Bundle to Bundle Component Relationship,0yoal0000000ci1AAA,1,Proportional,2
PRC-000000050;PowerSwerve R750 Rack Server;Memory Capacity;16GB RDIMM,16GB RDIMM,01tal000000XG1EAAW,BundleComponent,,,true,0dSal0000000eLvEAI,false,false,false,,,PRC-000000050,PowerSwerve R750 Rack Server,01tal000000XG1DAAW,Bundle,,,Memory Capacity;PowerSwerve R750 Rack Server,0y7al00000001dkAAA,Bundle to Bundle Component Relationship,0yoal0000000ci1AAA,1,Proportional,2
PRC-000000038;PowerSwerve R750 Rack Server;Hard Drive;8TB 7.2k RPM NLSAS,8TB 7.2k RPM NLSAS,01tal000000XG1FAAW,BundleComponent,,,true,0dSal0000000eLwEAI,false,false,false,,,PRC-000000038,PowerSwerve R750 Rack Server,01tal000000XG1DAAW,Bundle,,,Hard Drive;PowerSwerve R750 Rack Server,0y7al00000001dlAAA,Bundle to Bundle Component Relationship,0yoal0000000ci1AAA,1,Proportional,3
PRC-000000039;PowerSwerve R750 Rack Server;Hard Drive;8TB 7.2k RPM Self-Encrypting NLSAS,8TB 7.2k RPM Self-Encrypting NLSAS,01tal000000XG1GAAW,BundleComponent,,,true,0dSal0000000eLxEAI,false,false,false,,,PRC-000000039,PowerSwerve R750 Rack Server,01tal000000XG1DAAW,Bundle,,,Hard Drive;PowerSwerve R750 Rack Server,0y7al00000001dlAAA,Bundle to Bundle Component Relationship,0yoal0000000ci1AAA,1,Proportional,4
PRC-000000045;PowerSwerve R750 Rack Server;Network Adapter;Intel X710 Dual Port 10Gb SFP,Intel X710 Dual Port 10Gb SFP,01tal000000XG1HAAW,BundleComponent,,,true,0dSal0000000eLyEAI,false,false,false,,,PRC-000000045,PowerSwerve R750 Rack Server,01tal000000XG1DAAW,Bundle,,,Network Adapter;PowerSwerve R750 Rack Server,0y7al00000001dpAAA,Bundle to Bundle Component Relationship,0yoal0000000ci1AAA,1,Proportional,2
PRC-000000042;PowerSwerve R750 Rack Server;Processor;Intel Xeon E5-2660 v4 2.0GHz,Intel Xeon E5-2660 v4 2.0GHz,01tal000000XG1MAAW,BundleComponent,,,true,0dSal0000000eLzEAI,false,false,false,,,PRC-000000042,PowerSwerve R750 Rack Server,01tal000000XG1DAAW,Bundle,,,Processor;PowerSwerve R750 Rack Server,0y7al00000001dmAAA,Bundle to Bundle Component Relationship,0yoal0000000ci1AAA,1,Proportional,3
PRC-000000040;PowerSwerve R750 Rack Server;Processor;Intel Xeon E5-2667 v4 3.2GHz,Intel Xeon E5-2667 v4 3.2GHz,01tal000000XG1NAAW,BundleComponent,,,true,0dSal0000000eM0EAI,false,true,false,,,PRC-000000040,PowerSwerve R750 Rack Server,01tal000000XG1DAAW,Bundle,,,Processor;PowerSwerve R750 Rack Server,0y7al00000001dmAAA,Bundle to Bundle Component Relationship,0yoal0000000ci1AAA,1,Proportional,1
PRC-000000043;PowerSwerve R750 Rack Server;Processor;Intel Xeon E5-2683 v4 2.1GHz,Intel Xeon E5-2683 v4 2.1GHz,01tal000000XG1OAAW,BundleComponent,,,true,0dSal0000000eM1EAI,false,false,false,,,PRC-000000043,PowerSwerve R750 Rack Server,01tal000000XG1DAAW,Bundle,,,Processor;PowerSwerve R750 Rack Server,0y7al00000001dmAAA,Bundle to Bundle Component Relationship,0yoal0000000ci1AAA,1,Proportional,4
PRC-000000033;QuantumBit Services Project;Engineering_Resources;Integration Specialist Engineer,Integration Specialist Engineer,01tal000000XG1zAAG,BundleComponent,,,false,0dSal0000000eM2EAI,false,false,true,,,PRC-000000033,QuantumBit Services Project,01tal000000XG1IAAW,Bundle,,,Engineering_Resources;QuantumBit Services Project,0y7al00000001dqAAA,Bundle to Bundle Component Relationship,0yoal0000000ci1AAA,8,,5
PRC-000000032;QuantumBit Services Project;Engineering_Resources;Module Extension Engineer,Module Extension Engineer,01tal000000XG20AAG,BundleComponent,,,false,0dSal0000000eM3EAI,false,false,true,,,PRC-000000032,QuantumBit Services Project,01tal000000XG1IAAW,Bundle,,,Engineering_Resources;QuantumBit Services Project,0y7al00000001dqAAA,Bundle to Bundle Component Relationship,0yoal0000000ci1AAA,8,,3
PRC-000000031;QuantumBit Services Project;Engineering_Resources;Quality Assurance Engineer,Quality Assurance Engineer,01tal000000XG21AAG,BundleComponent,,,false,0dSal0000000eM4EAI,false,false,true,,,PRC-000000031,QuantumBit Services Project,01tal000000XG1IAAW,Bundle,,,Engineering_Resources;QuantumBit Services Project,0y7al00000001dqAAA,Bundle to Bundle Component Relationship,0yoal0000000ci1AAA,8,,4
PRC-000000034;QuantumBit Services Project;Engineering_Resources;Data Normalization Expert,Data Normalization Expert,01tal000000XG22AAG,BundleComponent,,,false,0dSal0000000eM5EAI,false,false,true,,,PRC-000000034,QuantumBit Services Project,01tal000000XG1IAAW,Bundle,,,Engineering_Resources;QuantumBit Services Project,0y7al00000001dqAAA,Bundle to Bundle Component Relationship,0yoal0000000ci1AAA,8,,2
PRC-000000030;QuantumBit Services Project;Engineering_Resources;Implementation Engineer,Implementation Engineer,01tal000000XG1yAAG,BundleComponent,,,false,0dSal0000000eM6EAI,false,false,true,,,PRC-000000030,QuantumBit Services Project,01tal000000XG1IAAW,Bundle,,,Engineering_Resources;QuantumBit Services Project,0y7al00000001dqAAA,Bundle to Bundle Component Relationship,0yoal0000000ci1AAA,8,,1
PRC-000000046;QuantumBit Services Project;Project_Management;Program Director,Program Director,01tal000000XG23AAG,BundleComponent,,,false,0dSal0000000eM7EAI,false,false,true,,,PRC-000000046,QuantumBit Services Project,01tal000000XG1IAAW,Bundle,,,Project_Management;QuantumBit Services Project,0y7al00000001doAAA,Bundle to Bundle Component Relationship,0yoal0000000ci1AAA,8,,1
PRC-000000048;QuantumBit Services Project;Solution_Architecture;Solutions Architect,Solutions Architect,01tal000000XG24AAG,BundleComponent,,,false,0dSal0000000eM8EAI,false,true,true,,,PRC-000000048,QuantumBit Services Project,01tal000000XG1IAAW,Bundle,,,Solution_Architecture;QuantumBit Services Project,0y7al00000001dnAAA,Bundle to Bundle Component Relationship,0yoal0000000ci1AAA,8,,1
PRC-000000047;QuantumBit Services Project;Project_Management;Project Manager,Project Manager,01tal000000XG25AAG,BundleComponent,,,false,0dSal0000000eM9EAI,true,true,true,,,PRC-000000047,QuantumBit Services Project,01tal000000XG1IAAW,Bundle,,,Project_Management;QuantumBit Services Project,0y7al00000001doAAA,Bundle to Bundle Component Relationship,0yoal0000000ci1AAA,8,,2
PRC-000000003;QuantumBit Starter;Maintenance;Gold Hardware Maintenance,Gold Hardware Maintenance,01tal000000XG1cAAG,BundleComponent,,,false,0dSal0000000eMKEAY,false,false,false,,,PRC-000000003,QuantumBit Starter,01tal000000XG1LAAW,Bundle,,,Maintenance;QuantumBit Starter,0y7al00000001ddAAA,Bundle to Bundle Component Relationship,0yoal0000000ci1AAA,1,Proportional,
PRC-000000004;QuantumBit Starter;Maintenance;Silver Hardware Maintenance,Silver Hardware Maintenance,01tal000000XG1dAAG,BundleComponent,,,false,0dSal0000000eMLEAY,false,true,false,,,PRC-000000004,QuantumBit Starter,01tal000000XG1LAAW,Bundle,,,Maintenance;QuantumBit Starter,0y7al00000001ddAAA,Bundle to Bundle Component Relationship,0yoal0000000ci1AAA,1,Proportional,
PRC-000000001;QuantumBit Starter;Training;QuantumBit Fundamentals Training,QuantumBit Fundamentals Training,01tal000000XG1tAAG,BundleComponent,,,false,0dSal0000000eMMEAY,false,false,false,,,PRC-000000001,QuantumBit Starter,01tal000000XG1LAAW,Bundle,,,Training;QuantumBit Starter,0y7al00000001deAAA,Bundle to Bundle Component Relationship,0yoal0000000ci1AAA,1,Proportional,
PRC-000000002;QuantumBit Starter;Training;QuantumBit Essentials Training,QuantumBit Essentials Training,01tal000000XG1uAAG,BundleComponent,,,false,0dSal0000000eMNEAY,false,true,false,,,PRC-000000002,QuantumBit Starter,01tal000000XG1LAAW,Bundle,,,Training;QuantumBit Starter,0y7al00000001deAAA,Bundle to Bundle Component Relationship,0yoal0000000ci1AAA,1,Proportional,
PRC-000000018;QuantumBit Enterprise TEST;FAMILY;Additional API Prod,Additional API Prod,01tal000000XG1fAAG,BundleComponent,,,false,0dSal0000000eMOEAY,false,false,true,,,PRC-000000018,QuantumBit Enterprise TEST,01tal000000XG1xAAG,Bundle,,,FAMILY;QuantumBit Enterprise TEST,0y7al00000001dgAAA,Bundle to Bundle Component Relationship,0yoal0000000ci1AAA,1,,10
PRC-000000017;QuantumBit Enterprise TEST;FAMILY;Additional API Pre-Prod,Additional API Pre-Prod,01tal000000XG1gAAG,BundleComponent,,,false,0dSal0000000eMPEAY,false,false,true,,,PRC-000000017,QuantumBit Enterprise TEST,01tal000000XG1xAAG,Bundle,,,FAMILY;QuantumBit Enterprise TEST,0y7al00000001dgAAA,Bundle to Bundle Component Relationship,0yoal0000000ci1AAA,1,,20
PRC-000000016;QuantumBit Enterprise TEST;FAMILY;Additional API Gov,Additional API Gov,01tal000000XG1hAAG,BundleComponent,,,false,0dSal0000000eMQEAY,false,true,true,,,PRC-000000016,QuantumBit Enterprise TEST,01tal000000XG1xAAG,Bundle,,,FAMILY;QuantumBit Enterprise TEST,0y7al00000001dgAAA,Bundle to Bundle Component Relationship,0yoal0000000ci1AAA,1,,30
PRC-000000015;QuantumBit Enterprise TEST;FAMILY;Additional API Flex (100M),Additional API Flex (100M),01tal000000XG1iAAG,BundleComponent,,,false,0dSal0000000eMREAY,false,true,true,,,PRC-000000015,QuantumBit Enterprise TEST,01tal000000XG1xAAG,Bundle,,,FAMILY;QuantumBit Enterprise TEST,0y7al00000001dgAAA,Bundle to Bundle Component Relationship,0yoal0000000ci1AAA,1,,40
