AvailabilityDate,BasedOn.Name,BasedOnId,ConfigureDuringSale,CurrencyIsoCode,Description,Family,Id,IsActive,IsAssetizable,IsSoldOnlyWithOtherProds,Name,ProductCode,QuantityUnitOfMeasure,StockKeepingUnit,Type
,,,,USD,"The Project Manager ensures a projects timely and efficient delivery by coordinating meetings, tracking progress, escalating issues, and proctoring weekly status reports.",Services,7UZQAQX7NKYQMIS5V5,true,true,false,Project Manager,QB-SRV-PMN,,,
,Engineering_Resources,EM223AJHNW9TDTFQAP,Allowed,USD,Our certified Implementation Engineers bring a wealth of application expertise and integration experience to ensure the clients other systems are connected.,Services,59HPFQZPUWSEICIXN5,true,true,false,Implementation Engineer,QB-SRV-IMP,,,
,Engineering_Resources,EM223AJHNW9TDTFQAP,Allowed,USD,Our certified Integration Specialist Engineers bring a wealth of application expertise and integration experience to ensure the clients other systems are connected.,Services,RVLZAUBCXGR2GIDEBP,true,true,false,Integration Specialist Engineer,QB-SRV-ISE,,,
,Engineering_Resources,EM223AJHNW9TDTFQAP,Allowed,USD,"Our certified Module Extension Engineers specialize in configuring and customizing the additional modules to a clients specifications, and work closely with the Core System Engineers.",Services,EZ4Q8WYRDRHKULICOP,true,true,false,Module Extension Engineer,QB-SRV-MEE,,,
,Engineering_Resources,EM223AJHNW9TDTFQAP,Allowed,USD,Quality Assurance Engineers test and support the activities prior to a successful Go-Live launch.,Services,FFSQGXSHJIASVX5Q2O,true,true,false,Quality Assurance Engineer,QB-SRV-QAE,,,
,Engineering_Resources,EM223AJHNW9TDTFQAP,Allowed,USD,"Data Normalization Experts engage early in the project and assist customers in normalizing, cleaning, and de-duping data, and can perform upload and update functions.",Services,RDTJ9VUZD1CP68LB7K,true,true,false,Data Normalization Expert,QB-SRV-DNE,,,
,,,,USD,Increase productivity by managing all your APIs and microservices from one place.,Software,TOVB06CUS1IGMEM7XM,true,true,false,QB API Management Solution,QB-API-MGMT,,,
,,,,USD,"QuantumBit apps process messages and other parts of QB events through components, connectors, and modules that are set up within the scope of Flow and Subflow components within an app.",Software,6YXU0AOW2YSNMIPP5H,true,true,false,Additional Flows - QB Starter,QB-FLO-STRT,,,
,,,,USD,"QB Sync is a multi-tenant, cloud-based message queuing service for exchanging data asynchronously between your applications. The QB sync messaging broker enables applications to communicate by publishing a QB message to a queue so that another app can consume the message.",Software,930JUDKICMFLAFR2IX,true,true,false,Additional Messages - QB Starter,QB-MSG-STRT,,,
,,,,USD,"Data throughput counts when the deployed application transfers data to execute its business logic, including but not limited to internal operational network traffic for monitoring, logs, and health checks. Data throughput is aggregated as a sum of all bytes during a month.",Software,UOZ7WXWFLG4IYUYM1G,true,true,false,Additional Data Throughput (TB),QB-DAT-THPT,,,
,,,,USD,The 19-inch Black Modular Toolless Blanking Panel allows for quick and easy installation in any EIA-310-D compliant square hole mounting rail rack or enclosure.,Hardware,Y3CXXAPWEITVOXKJXI,true,true,false,Blanking Panel,QB-BSSA-4298,,,
,,,,USD,"Occupying 1U of rack space, this sliding shelf provides ventilation, and easy access to severs.",Hardware,WHJMZGZZPPCPFZQVMS,true,true,false,Sliding Shelf 200lbs,QB-BSSA-4300,,,
,,,,USD,"Occupying 1U of rack space, this shelf provides ventilation, 4-post mounting and an adjustable mounting depth.",Hardware,LOOZUVAC5NYXMCCDAG,true,true,false,Fixed Shelf 250lbs,QB-BSSA-4302,,,
,,,,USD,Roof Fan Tray promotes bottom to top airflow for an enclosure in zero U of space. It cools by exhausting heat out of the roof of the rack.,Hardware,W84T6IHRGX2ASHBOAR,true,true,false,Roof Fan Tray 750mm - 120V,QB-BSSA-4306,,,
,,,,USD,Roof Fan Tray promotes bottom to top airflow for an enclosure in zero U of space. It cools by exhausting heat out of the roof of the rack.,Hardware,ERO4MAEXFW2BB94PU9,true,true,false,Roof Fan Tray 750mm - 208V,QB-BSSA-4308,,,
,,,,USD,"Support and protect your IT equipment with rack enclosures designed for flexible deployments, usability and infrastructure scalability.",Bundle,EDSFVWEMRNVRMFSLT4,true,true,false,QuantumBit Rack Enclosure,QB-BDL-RAXS,,,
,,,,USD,Basic Consulting package for implementation managed by 3rd party SI/Partner on Fixed Fee basis.,Services,CHFQ0EKBEKYJP6H4YH,true,true,false,Quick Start Enablement,QB-SRV-QSE,,,
,,,,USD,Professional Services - Associate Consultant Daily Rate,Services,NKX8Y7Q2I3WMMBF3SW,true,true,false,Professional Services - Associate Consultant Daily Rate,QB-SRV-OG-AC-PSH,,,
,,,,USD,One-time fee to access premium customer success services as you navigate your data transformation.,Services,ZXFZ29Q8S6YZJYZCDS,true,true,false,"QuantumBit Advisory Services, CSM Premium",QB-SRV-AS,,,
,,,,USD,"For mission critical deployments, you need QuantumBit up and running as fast as possible. Select the standard success plan for access to documentation, online case management and phone support.",Services,FBBJJMTS8YFVKRWLRZ,true,true,false,Standard Success Plan,QB-STD-SP,,,
,,,,USD,Professional project management services option to be priced on a per-day basis.,Services,HFDGZMH2KQDD1S7K5T,true,true,false,Professional Services - Project Management Daily Rate,QB-SRV-OG-PM-PSH,,,
,,,,USD,"For mission critical deployments, you need QuantumBit up and running as fast as possible. Select the premium success plan for everything included in the standard plan AND direct access to our advanced support team 24/7.",Services,YX4BSQTDQMZNL6P665,true,true,false,Premium Success Plan,QB-SRV-PRM-SP,,,
