$$Name$Pricebook2.Name$Product2.Name$ProductSellingModel.Name$CurrencyIsoCode,CurrencyIsoCode,Id,IsActive,Name,Pricebook2.$$Name$IsStandard,Pricebook2.Id,Pricebook2Id,Product2.Id,Product2.Name,Product2Id,ProductSellingModel.$$Name$SellingModelType,ProductSellingModel.Id,ProductSellingModelId,UnitPrice
Additional API Flex (100M);Standard Price Book;Additional API Flex (100M);Term Annual;USD,USD,MDSP7HZKA4CJSU7GUI,true,Additional API Flex (100M),Standard Price Book;true,UZGMLSEQAKOLSLW9OF,UZGMLSEQAKOLSLW9OF,1NUWLTQ5PMXWFD4ISD,Additional API Flex (100M),1NUWLTQ5PMXWFD4ISD,Term Annual;TermDefined,U76IRMLV2ZHAC45JEK,U76IRMLV2ZHAC45JEK,450
Additional API Gov;Standard Price Book;Additional API Gov;Term Annual;USD,USD,BB0FMNWAQWKEYTE6BI,true,Additional API Gov,Standard Price Book;true,UZGMLSEQAKOLSLW9OF,UZGMLSEQAKOLSLW9OF,Y1RGHWYDTBSHEBON2G,Additional API Gov,Y1RGHWYDTBSHEBON2G,Term Annual;TermDefined,U76IRMLV2ZHAC45JEK,U76IRMLV2ZHAC45JEK,1450
Additional API Pre-Prod;Standard Price Book;Additional API Pre-Prod;Term Annual;USD,USD,N5FUEEUW2TIPP8FV9P,true,Additional API Pre-Prod,Standard Price Book;true,UZGMLSEQAKOLSLW9OF,UZGMLSEQAKOLSLW9OF,NFA4ESHHRIQT6T4XYT,Additional API Pre-Prod,NFA4ESHHRIQT6T4XYT,Term Annual;TermDefined,U76IRMLV2ZHAC45JEK,U76IRMLV2ZHAC45JEK,3240
Additional API Prod;Standard Price Book;Additional API Prod;Term Annual;USD,USD,019UJYSAFA8H5E3XUZ,true,Additional API Prod,Standard Price Book;true,UZGMLSEQAKOLSLW9OF,UZGMLSEQAKOLSLW9OF,AOGBR80WB54F3PBSXO,Additional API Prod,AOGBR80WB54F3PBSXO,Term Annual;TermDefined,U76IRMLV2ZHAC45JEK,U76IRMLV2ZHAC45JEK,3240
Additional Automation QB Credits;Standard Price Book;Additional Automation QB Credits;Evergreen Monthly;USD,USD,XG7IHWPYGKPIRDLVYX,true,Additional Automation QB Credits,Standard Price Book;true,UZGMLSEQAKOLSLW9OF,UZGMLSEQAKOLSLW9OF,FMQVQ77IY3K9M2NDXT,Additional Automation QB Credits,FMQVQ77IY3K9M2NDXT,Evergreen Monthly;Evergreen,3ACBONHWU9S1OCZ4C8,3ACBONHWU9S1OCZ4C8,2.5
Additional Automation QB Credits;Standard Price Book;Additional Automation QB Credits;Term Annual;USD,USD,3J29HOTDNE9UTHINHK,true,Additional Automation QB Credits,Standard Price Book;true,UZGMLSEQAKOLSLW9OF,UZGMLSEQAKOLSLW9OF,FMQVQ77IY3K9M2NDXT,Additional Automation QB Credits,FMQVQ77IY3K9M2NDXT,Term Annual;TermDefined,U76IRMLV2ZHAC45JEK,U76IRMLV2ZHAC45JEK,25
Additional Automation QB Credits;Standard Price Book;Additional Automation QB Credits;Term Monthly;USD,USD,5DCVSFG1SQNYMLQH7F,true,Additional Automation QB Credits,Standard Price Book;true,UZGMLSEQAKOLSLW9OF,UZGMLSEQAKOLSLW9OF,FMQVQ77IY3K9M2NDXT,Additional Automation QB Credits,FMQVQ77IY3K9M2NDXT,Term Monthly;TermDefined,UAGED9WJIWQIVBDKPA,UAGED9WJIWQIVBDKPA,2
Additional Data Throughput (TB);Standard Price Book;Additional Data Throughput (TB);Evergreen Monthly;USD,USD,2RAFDUBBOXT0HYQX4K,true,Additional Data Throughput (TB),Standard Price Book;true,UZGMLSEQAKOLSLW9OF,UZGMLSEQAKOLSLW9OF,UOZ7WXWFLG4IYUYM1G,Additional Data Throughput (TB),UOZ7WXWFLG4IYUYM1G,Evergreen Monthly;Evergreen,3ACBONHWU9S1OCZ4C8,3ACBONHWU9S1OCZ4C8,3200
Additional Data Throughput (TB);Standard Price Book;Additional Data Throughput (TB);Term Annual;USD,USD,LT2R38FXVMNXSY6KMS,true,Additional Data Throughput (TB),Standard Price Book;true,UZGMLSEQAKOLSLW9OF,UZGMLSEQAKOLSLW9OF,UOZ7WXWFLG4IYUYM1G,Additional Data Throughput (TB),UOZ7WXWFLG4IYUYM1G,Term Annual;TermDefined,U76IRMLV2ZHAC45JEK,U76IRMLV2ZHAC45JEK,38000
Additional Data Throughput (TB);Standard Price Book;Additional Data Throughput (TB);Term Monthly;USD,USD,PDC93LOONUOVWLIR5Q,true,Additional Data Throughput (TB),Standard Price Book;true,UZGMLSEQAKOLSLW9OF,UZGMLSEQAKOLSLW9OF,UOZ7WXWFLG4IYUYM1G,Additional Data Throughput (TB),UOZ7WXWFLG4IYUYM1G,Term Monthly;TermDefined,UAGED9WJIWQIVBDKPA,UAGED9WJIWQIVBDKPA,3000
Additional Flows - QB Starter;Standard Price Book;Additional Flows - QB Starter;Evergreen Monthly;USD,USD,7HWM5AHYMZ0QCH2MPZ,true,Additional Flows - QB Starter,Standard Price Book;true,UZGMLSEQAKOLSLW9OF,UZGMLSEQAKOLSLW9OF,6YXU0AOW2YSNMIPP5H,Additional Flows - QB Starter,6YXU0AOW2YSNMIPP5H,Evergreen Monthly;Evergreen,3ACBONHWU9S1OCZ4C8,3ACBONHWU9S1OCZ4C8,2000
Additional Flows - QB Starter;Standard Price Book;Additional Flows - QB Starter;Term Annual;USD,USD,0KGLPAXLHC0OVRDQGM,true,Additional Flows - QB Starter,Standard Price Book;true,UZGMLSEQAKOLSLW9OF,UZGMLSEQAKOLSLW9OF,6YXU0AOW2YSNMIPP5H,Additional Flows - QB Starter,6YXU0AOW2YSNMIPP5H,Term Annual;TermDefined,U76IRMLV2ZHAC45JEK,U76IRMLV2ZHAC45JEK,24000
Additional Flows - QB Starter;Standard Price Book;Additional Flows - QB Starter;Term Monthly;USD,USD,XSMENSLLHMWOPW7FPU,true,Additional Flows - QB Starter,Standard Price Book;true,UZGMLSEQAKOLSLW9OF,UZGMLSEQAKOLSLW9OF,6YXU0AOW2YSNMIPP5H,Additional Flows - QB Starter,6YXU0AOW2YSNMIPP5H,Term Monthly;TermDefined,UAGED9WJIWQIVBDKPA,UAGED9WJIWQIVBDKPA,1500
Additional Messages - QB Starter;Standard Price Book;Additional Messages - QB Starter;Evergreen Monthly;USD,USD,0V6AOWGMSAIFKE3NZM,true,Additional Messages - QB Starter,Standard Price Book;true,UZGMLSEQAKOLSLW9OF,UZGMLSEQAKOLSLW9OF,930JUDKICMFLAFR2IX,Additional Messages - QB Starter,930JUDKICMFLAFR2IX,Evergreen Monthly;Evergreen,3ACBONHWU9S1OCZ4C8,3ACBONHWU9S1OCZ4C8,3500
Additional Messages - QB Starter;Standard Price Book;Additional Messages - QB Starter;Term Annual;USD,USD,W5NRAQLHD2VM6MUTDY,true,Additional Messages - QB Starter,Standard Price Book;true,UZGMLSEQAKOLSLW9OF,UZGMLSEQAKOLSLW9OF,930JUDKICMFLAFR2IX,Additional Messages - QB Starter,930JUDKICMFLAFR2IX,Term Annual;TermDefined,U76IRMLV2ZHAC45JEK,U76IRMLV2ZHAC45JEK,30000
Additional Messages - QB Starter;Standard Price Book;Additional Messages - QB Starter;Term Monthly;USD,USD,AKRTJHRKIDZOBRD2JO,true,Additional Messages - QB Starter,Standard Price Book;true,UZGMLSEQAKOLSLW9OF,UZGMLSEQAKOLSLW9OF,930JUDKICMFLAFR2IX,Additional Messages - QB Starter,930JUDKICMFLAFR2IX,Term Monthly;TermDefined,UAGED9WJIWQIVBDKPA,UAGED9WJIWQIVBDKPA,3000
Additional QB DataGraph (500M);Standard Price Book;Additional QB DataGraph (500M);Term Annual;USD,USD,GW2XOZBTYRBQARWKT1,true,Additional QB DataGraph (500M),Standard Price Book;true,UZGMLSEQAKOLSLW9OF,UZGMLSEQAKOLSLW9OF,RMBYPHHDN8BIBMCLJP,Additional QB DataGraph (500M),RMBYPHHDN8BIBMCLJP,Term Annual;TermDefined,U76IRMLV2ZHAC45JEK,U76IRMLV2ZHAC45JEK,25000
API Access Requests (AEH);Standard Price Book;API Access Requests (AEH);Evergreen Monthly;USD,USD,N9NVAOTEINDGQIYVZG,true,API Access Requests (AEH),Standard Price Book;true,UZGMLSEQAKOLSLW9OF,UZGMLSEQAKOLSLW9OF,PJUIJPP4W3GJFYHGBK,API Access Requests (AEH),PJUIJPP4W3GJFYHGBK,Evergreen Monthly;Evergreen,3ACBONHWU9S1OCZ4C8,3ACBONHWU9S1OCZ4C8,5
API Access Requests (AEH);Standard Price Book;API Access Requests (AEH);Term Annual;USD,USD,6B7ERAYVOG47VHHCK8,true,API Access Requests (AEH),Standard Price Book;true,UZGMLSEQAKOLSLW9OF,UZGMLSEQAKOLSLW9OF,PJUIJPP4W3GJFYHGBK,API Access Requests (AEH),PJUIJPP4W3GJFYHGBK,Term Annual;TermDefined,U76IRMLV2ZHAC45JEK,U76IRMLV2ZHAC45JEK,45
API Access Requests (AEH);Standard Price Book;API Access Requests (AEH);Term Monthly;USD,USD,SR0BKAPYBUQGAATFKR,true,API Access Requests (AEH),Standard Price Book;true,UZGMLSEQAKOLSLW9OF,UZGMLSEQAKOLSLW9OF,PJUIJPP4W3GJFYHGBK,API Access Requests (AEH),PJUIJPP4W3GJFYHGBK,Term Monthly;TermDefined,UAGED9WJIWQIVBDKPA,UAGED9WJIWQIVBDKPA,5
C13 to C14 Power Cable 3';Standard Price Book;C13 to C14 Power Cable 3';One-Time;USD,USD,ZQVREHXZFVYLXUIWWV,true,C13 to C14 Power Cable 3',Standard Price Book;true,UZGMLSEQAKOLSLW9OF,UZGMLSEQAKOLSLW9OF,TUOP5GGDP0NZ7UQZHE,C13 to C14 Power Cable 3',TUOP5GGDP0NZ7UQZHE,One-Time;OneTime,ALVWKDBK8EJXHRXXYY,ALVWKDBK8EJXHRXXYY,250
Configured Power Cable;Standard Price Book;Configured Power Cable;One-Time;USD,USD,HIUIPRJAY0CWMNQTOC,true,Configured Power Cable,Standard Price Book;true,UZGMLSEQAKOLSLW9OF,UZGMLSEQAKOLSLW9OF,K7LJAYQXKMZ5Q9ZNYY,Configured Power Cable,K7LJAYQXKMZ5Q9ZNYY,One-Time;OneTime,ALVWKDBK8EJXHRXXYY,ALVWKDBK8EJXHRXXYY,249
Data Normalization Expert;Standard Price Book;Data Normalization Expert;One-Time;USD,USD,BQHGSH7A61E32MGJXT,true,Data Normalization Expert,Standard Price Book;true,UZGMLSEQAKOLSLW9OF,UZGMLSEQAKOLSLW9OF,RDTJ9VUZD1CP68LB7K,Data Normalization Expert,RDTJ9VUZD1CP68LB7K,One-Time;OneTime,ALVWKDBK8EJXHRXXYY,ALVWKDBK8EJXHRXXYY,300
Gold Hardware Maintenance;Standard Price Book;Gold Hardware Maintenance;Term Annual;USD,USD,F5PCANRTF45CFE3NSY,true,Gold Hardware Maintenance,Standard Price Book;true,UZGMLSEQAKOLSLW9OF,UZGMLSEQAKOLSLW9OF,BO4F6YXNRWS3UHUDOL,Gold Hardware Maintenance,BO4F6YXNRWS3UHUDOL,Term Annual;TermDefined,U76IRMLV2ZHAC45JEK,U76IRMLV2ZHAC45JEK,30000
Implementation Engineer;Standard Price Book;Implementation Engineer;One-Time;USD,USD,NLX8UJDUWJJCSIMK0D,true,Implementation Engineer,Standard Price Book;true,UZGMLSEQAKOLSLW9OF,UZGMLSEQAKOLSLW9OF,59HPFQZPUWSEICIXN5,Implementation Engineer,59HPFQZPUWSEICIXN5,One-Time;OneTime,ALVWKDBK8EJXHRXXYY,ALVWKDBK8EJXHRXXYY,300
Integration Specialist Engineer;Standard Price Book;Integration Specialist Engineer;One-Time;USD,USD,D2JPYU8DIGDWJZQ3EH,true,Integration Specialist Engineer,Standard Price Book;true,UZGMLSEQAKOLSLW9OF,UZGMLSEQAKOLSLW9OF,RVLZAUBCXGR2GIDEBP,Integration Specialist Engineer,RVLZAUBCXGR2GIDEBP,One-Time;OneTime,ALVWKDBK8EJXHRXXYY,ALVWKDBK8EJXHRXXYY,350
Intel X710 Dual Port 10Gb Direct Attach;Standard Price Book;Intel X710 Dual Port 10Gb Direct Attach;One-Time;USD,USD,U5GMQMITBMWLAQVDWD,true,Intel X710 Dual Port 10Gb Direct Attach,Standard Price Book;true,UZGMLSEQAKOLSLW9OF,UZGMLSEQAKOLSLW9OF,W07SQOFBRJDCYLSLA7,Intel X710 Dual Port 10Gb Direct Attach,W07SQOFBRJDCYLSLA7,One-Time;OneTime,ALVWKDBK8EJXHRXXYY,ALVWKDBK8EJXHRXXYY,1599
Intel X710 Dual Port 10Gb SFP;Standard Price Book;Intel X710 Dual Port 10Gb SFP;One-Time;USD,USD,DJIB359NQ4KYRFXTXC,true,Intel X710 Dual Port 10Gb SFP,Standard Price Book;true,UZGMLSEQAKOLSLW9OF,UZGMLSEQAKOLSLW9OF,JZBQPO44HRAQGPFBDY,Intel X710 Dual Port 10Gb SFP,JZBQPO44HRAQGPFBDY,One-Time;OneTime,ALVWKDBK8EJXHRXXYY,ALVWKDBK8EJXHRXXYY,1599
Intel Xeon E5-2609 v4 1.7GHz;Standard Price Book;Intel Xeon E5-2609 v4 1.7GHz;One-Time;USD,USD,0QHMHMNHH5KORCIZ2S,true,Intel Xeon E5-2609 v4 1.7GHz,Standard Price Book;true,UZGMLSEQAKOLSLW9OF,UZGMLSEQAKOLSLW9OF,KPSNWFN2YSMF6QH7XL,Intel Xeon E5-2609 v4 1.7GHz,KPSNWFN2YSMF6QH7XL,One-Time;OneTime,ALVWKDBK8EJXHRXXYY,ALVWKDBK8EJXHRXXYY,1499
Intel Xeon E5-2660 v4 2.0GHz;Standard Price Book;Intel Xeon E5-2660 v4 2.0GHz;One-Time;USD,USD,UDC1NAWRBCXMCGLJNN,true,Intel Xeon E5-2660 v4 2.0GHz,Standard Price Book;true,UZGMLSEQAKOLSLW9OF,UZGMLSEQAKOLSLW9OF,EDMGKFBLPWJSEFFQ2V,Intel Xeon E5-2660 v4 2.0GHz,EDMGKFBLPWJSEFFQ2V,One-Time;OneTime,ALVWKDBK8EJXHRXXYY,ALVWKDBK8EJXHRXXYY,1699
Intel Xeon E5-2667 v4 3.2GHz;Standard Price Book;Intel Xeon E5-2667 v4 3.2GHz;One-Time;USD,USD,CNVY6ZNG4WRLCRRRBL,true,Intel Xeon E5-2667 v4 3.2GHz,Standard Price Book;true,UZGMLSEQAKOLSLW9OF,UZGMLSEQAKOLSLW9OF,5RQH7JQ7WY95Y4Y3FC,Intel Xeon E5-2667 v4 3.2GHz,5RQH7JQ7WY95Y4Y3FC,One-Time;OneTime,ALVWKDBK8EJXHRXXYY,ALVWKDBK8EJXHRXXYY,2499
Intel Xeon E5-2683 v4 2.1GHz;Standard Price Book;Intel Xeon E5-2683 v4 2.1GHz;One-Time;USD,USD,OHCQUK5OK5BSJ6BLSR,true,Intel Xeon E5-2683 v4 2.1GHz,Standard Price Book;true,UZGMLSEQAKOLSLW9OF,UZGMLSEQAKOLSLW9OF,BBYMB74LXXODQN1RRU,Intel Xeon E5-2683 v4 2.1GHz,BBYMB74LXXODQN1RRU,One-Time;OneTime,ALVWKDBK8EJXHRXXYY,ALVWKDBK8EJXHRXXYY,1399
Module Extension Engineer;Standard Price Book;Module Extension Engineer;One-Time;USD,USD,QC9CRGD4BD50IHAFPF,true,Module Extension Engineer,Standard Price Book;true,UZGMLSEQAKOLSLW9OF,UZGMLSEQAKOLSLW9OF,EZ4Q8WYRDRHKULICOP,Module Extension Engineer,EZ4Q8WYRDRHKULICOP,One-Time;OneTime,ALVWKDBK8EJXHRXXYY,ALVWKDBK8EJXHRXXYY,300
PowerSwerve R750 Rack Server;Standard Price Book;PowerSwerve R750 Rack Server;One-Time;USD,USD,QFTT5VE0PZMPOMHGOD,true,PowerSwerve R750 Rack Server,Standard Price Book;true,UZGMLSEQAKOLSLW9OF,UZGMLSEQAKOLSLW9OF,JU2FWEY6BI19Q2HDDQ,PowerSwerve R750 Rack Server,JU2FWEY6BI19Q2HDDQ,One-Time;OneTime,ALVWKDBK8EJXHRXXYY,ALVWKDBK8EJXHRXXYY,3899
Professional Services Daily Rate;Standard Price Book;Professional Services Daily Rate;One-Time;USD,USD,GBNCDE4V0W26KABOYF,true,Professional Services Daily Rate,Standard Price Book;true,UZGMLSEQAKOLSLW9OF,UZGMLSEQAKOLSLW9OF,JJOWOX6VTRDNZKLRNL,Professional Services Daily Rate,JJOWOX6VTRDNZKLRNL,One-Time;OneTime,ALVWKDBK8EJXHRXXYY,ALVWKDBK8EJXHRXXYY,250
Professional Services Scope of Work;Standard Price Book;Professional Services Scope of Work;One-Time;USD,USD,RAKUO57RPOCRDKDHXI,true,Professional Services Scope of Work,Standard Price Book;true,UZGMLSEQAKOLSLW9OF,UZGMLSEQAKOLSLW9OF,ZMOAEI6YVI5NWJQEZK,Professional Services Scope of Work,ZMOAEI6YVI5NWJQEZK,One-Time;OneTime,ALVWKDBK8EJXHRXXYY,ALVWKDBK8EJXHRXXYY,25000
Program Director;Standard Price Book;Program Director;One-Time;USD,USD,BPEJIJPT4W42U19MM7,true,Program Director,Standard Price Book;true,UZGMLSEQAKOLSLW9OF,UZGMLSEQAKOLSLW9OF,4M7QRJMIJBOJV5VLP8,Program Director,4M7QRJMIJBOJV5VLP8,One-Time;OneTime,ALVWKDBK8EJXHRXXYY,ALVWKDBK8EJXHRXXYY,350
Project Manager;Standard Price Book;Project Manager;One-Time;USD,USD,MWSTAHUYLGSE5MM9IA,true,Project Manager,Standard Price Book;true,UZGMLSEQAKOLSLW9OF,UZGMLSEQAKOLSLW9OF,7UZQAQX7NKYQMIS5V5,Project Manager,7UZQAQX7NKYQMIS5V5,One-Time;OneTime,ALVWKDBK8EJXHRXXYY,ALVWKDBK8EJXHRXXYY,300
QB API Management Solution;Standard Price Book;QB API Management Solution;Evergreen Monthly;USD,USD,8UYO2S3Q21IXY5ZBDU,true,QB API Management Solution,Standard Price Book;true,UZGMLSEQAKOLSLW9OF,UZGMLSEQAKOLSLW9OF,TOVB06CUS1IGMEM7XM,QB API Management Solution,TOVB06CUS1IGMEM7XM,Evergreen Monthly;Evergreen,3ACBONHWU9S1OCZ4C8,3ACBONHWU9S1OCZ4C8,1000
QB API Management Solution;Standard Price Book;QB API Management Solution;Term Annual;USD,USD,6FMVERCSKMUBZJZATM,true,QB API Management Solution,Standard Price Book;true,UZGMLSEQAKOLSLW9OF,UZGMLSEQAKOLSLW9OF,TOVB06CUS1IGMEM7XM,QB API Management Solution,TOVB06CUS1IGMEM7XM,Term Annual;TermDefined,U76IRMLV2ZHAC45JEK,U76IRMLV2ZHAC45JEK,12000
QB API Management Solution;Standard Price Book;QB API Management Solution;Term Monthly;USD,USD,JGC3VZYLNED4ZSXYDJ,true,QB API Management Solution,Standard Price Book;true,UZGMLSEQAKOLSLW9OF,UZGMLSEQAKOLSLW9OF,TOVB06CUS1IGMEM7XM,QB API Management Solution,TOVB06CUS1IGMEM7XM,Term Monthly;TermDefined,UAGED9WJIWQIVBDKPA,UAGED9WJIWQIVBDKPA,1000
Quality Assurance Engineer;Standard Price Book;Quality Assurance Engineer;One-Time;USD,USD,UNTVAALZSTJXAH9TD8,true,Quality Assurance Engineer,Standard Price Book;true,UZGMLSEQAKOLSLW9OF,UZGMLSEQAKOLSLW9OF,FFSQGXSHJIASVX5Q2O,Quality Assurance Engineer,FFSQGXSHJIASVX5Q2O,One-Time;OneTime,ALVWKDBK8EJXHRXXYY,ALVWKDBK8EJXHRXXYY,300
QuantumBit Complete Solution;Standard Price Book;QuantumBit Complete Solution;Evergreen Monthly;USD,USD,MHRJAVV4YPFVVCAV7N,true,QuantumBit Complete Solution,Standard Price Book;true,UZGMLSEQAKOLSLW9OF,UZGMLSEQAKOLSLW9OF,LISQH1OBWZUZGML4JX,QuantumBit Complete Solution,LISQH1OBWZUZGML4JX,Evergreen Monthly;Evergreen,3ACBONHWU9S1OCZ4C8,3ACBONHWU9S1OCZ4C8,0
QuantumBit Complete Solution;Standard Price Book;QuantumBit Complete Solution;One-Time;USD,USD,4BFO39AHNOYCOR5MWQ,true,QuantumBit Complete Solution,Standard Price Book;true,UZGMLSEQAKOLSLW9OF,UZGMLSEQAKOLSLW9OF,LISQH1OBWZUZGML4JX,QuantumBit Complete Solution,LISQH1OBWZUZGML4JX,One-Time;OneTime,ALVWKDBK8EJXHRXXYY,ALVWKDBK8EJXHRXXYY,0
QuantumBit Complete Solution;Standard Price Book;QuantumBit Complete Solution;Term Annual;USD,USD,CRR9CNJMJMTMSSPAUS,true,QuantumBit Complete Solution,Standard Price Book;true,UZGMLSEQAKOLSLW9OF,UZGMLSEQAKOLSLW9OF,LISQH1OBWZUZGML4JX,QuantumBit Complete Solution,LISQH1OBWZUZGML4JX,Term Annual;TermDefined,U76IRMLV2ZHAC45JEK,U76IRMLV2ZHAC45JEK,0
QuantumBit Complete Solution;Standard Price Book;QuantumBit Complete Solution;Term Monthly;USD,USD,QENZZN0GGOCQWOQKVR,true,QuantumBit Complete Solution,Standard Price Book;true,UZGMLSEQAKOLSLW9OF,UZGMLSEQAKOLSLW9OF,LISQH1OBWZUZGML4JX,QuantumBit Complete Solution,LISQH1OBWZUZGML4JX,Term Monthly;TermDefined,UAGED9WJIWQIVBDKPA,UAGED9WJIWQIVBDKPA,0
QuantumBit Essentials Training;Standard Price Book;QuantumBit Essentials Training;One-Time;USD,USD,PRB7J7T1JNTB4SFGWU,true,QuantumBit Essentials Training,Standard Price Book;true,UZGMLSEQAKOLSLW9OF,UZGMLSEQAKOLSLW9OF,TTQSYYKHIGJVBBBC12,QuantumBit Essentials Training,TTQSYYKHIGJVBBBC12,One-Time;OneTime,ALVWKDBK8EJXHRXXYY,ALVWKDBK8EJXHRXXYY,8500
QuantumBit Fundamentals Training;Standard Price Book;QuantumBit Fundamentals Training;One-Time;USD,USD,REA9QG22GIV9OGNLQN,true,QuantumBit Fundamentals Training,Standard Price Book;true,UZGMLSEQAKOLSLW9OF,UZGMLSEQAKOLSLW9OF,O9KVYGM1LOBYQPYYOB,QuantumBit Fundamentals Training,O9KVYGM1LOBYQPYYOB,One-Time;OneTime,ALVWKDBK8EJXHRXXYY,ALVWKDBK8EJXHRXXYY,6500
QuantumBit Services Project;Standard Price Book;QuantumBit Services Project;One-Time;USD,USD,SJAXBIAH3G5LXGF2CR,true,QuantumBit Services Project,Standard Price Book;true,UZGMLSEQAKOLSLW9OF,UZGMLSEQAKOLSLW9OF,QOOCYUCGGZ6BJDGEBR,QuantumBit Services Project,QOOCYUCGGZ6BJDGEBR,One-Time;OneTime,ALVWKDBK8EJXHRXXYY,ALVWKDBK8EJXHRXXYY,0
