$$Product2.Name$ProductSellingModel.Name,Id,IsDefault,Product2.Name,Product2Id,ProductSellingModel.Name,ProductSellingModelId,ProrationPolicy.Name,ProrationPolicyId
QuantumBit Complete Solution;Term Annual,0iOal00000001UHEAY,true,QuantumBit Complete Solution,01tal000000Vw1hAAC,Term Annual,0jPal00000001P8EAI,Default Proration Policy,0mual000000054XAAQ
Additional API;Term Monthly,0iOal00000001UIEAY,false,Additional API,01tal000000Vw1gAAC,Term Monthly,0jPal00000001P9EAI,Default Proration Policy,0mual000000054XAAQ
Additional API;Evergreen Monthly,0iOal00000001UJEAY,false,Additional API,01tal000000Vw1gAAC,Evergreen Monthly,0jPal00000001P7EAI,Default Proration Policy,0mual000000054XAAQ
16GB RDIMM;One-Time,0iOal00000001UKEAY,true,16GB RDIMM,01tal000000Vw1MAAS,One-Time,0jPal00000001PBEAY,,
4TB 7.2k RPM NLSAS;One-Time,0iOal00000001ULEAY,true,4TB 7.2k RPM NLSAS,01tal000000Vw1iAAC,One-Time,0jPal00000001PBEAY,,
8TB 7.2k RPM NLSAS;One-Time,0iOal00000001UMEAY,true,8TB 7.2k RPM NLSAS,01tal000000Vw1NAAS,One-Time,0jPal00000001PBEAY,,
8TB 7.2k RPM Self-Encrypting NLSAS;One-Time,0iOal00000001UNEAY,true,8TB 7.2k RPM Self-Encrypting NLSAS,01tal000000Vw1OAAS,One-Time,0jPal00000001PBEAY,,
QuantumBit Services Project;One-Time,0iOal00000001UOEAY,true,QuantumBit Services Project,01tal000000Vw1QAAS,One-Time,0jPal00000001PBEAY,,
Module Extension Engineer;One-Time,0iOal00000001UPEAY,true,Module Extension Engineer,01tal000000Vw1dAAC,One-Time,0jPal00000001PBEAY,,
Program Director;One-Time,0iOal00000001UQEAY,true,Program Director,01tal000000Vw2kAAC,One-Time,0jPal00000001PBEAY,,
Intel Xeon E5-2660 v4 2.0GHz;One-Time,0iOal00000001UREAY,true,Intel Xeon E5-2660 v4 2.0GHz,01tal000000Vw1VAAS,One-Time,0jPal00000001PBEAY,,
Quality Assurance Engineer;One-Time,0iOal00000001USEAY,true,Quality Assurance Engineer,01tal000000Vw1eAAC,One-Time,0jPal00000001PBEAY,,
Intel X710 Dual Port 10Gb Direct Attach;One-Time,0iOal00000001UTEAY,true,Intel X710 Dual Port 10Gb Direct Attach,01tal000000Vw1kAAC,One-Time,0jPal00000001PBEAY,,
Implementation Engineer;One-Time,0iOal00000001UUEAY,true,Implementation Engineer,01tal000000Vw1RAAS,One-Time,0jPal00000001PBEAY,,
Intel Xeon E5-2683 v4 2.1GHz;One-Time,0iOal00000001UVEAY,true,Intel Xeon E5-2683 v4 2.1GHz,01tal000000Vw1ZAAS,One-Time,0jPal00000001PBEAY,,
Data Normalization Expert;One-Time,0iOal00000001UWEAY,true,Data Normalization Expert,01tal000000Vw1fAAC,One-Time,0jPal00000001PBEAY,,
Intel Xeon E5-2609 v4 1.7GHz;One-Time,0iOal00000001UXEAY,true,Intel Xeon E5-2609 v4 1.7GHz,01tal000000Vw1KAAS,One-Time,0jPal00000001PBEAY,,
PowerSwerve R750 Rack Server;One-Time,0iOal00000001UYEAY,true,PowerSwerve R750 Rack Server,01tal000000Vw1LAAS,One-Time,0jPal00000001PBEAY,,
8GB RDIMM;One-Time,0iOal00000001UZEAY,true,8GB RDIMM,01tal000000Vw1jAAC,One-Time,0jPal00000001PBEAY,,
32GB RDIMM;One-Time,0iOal00000001UaEAI,true,32GB RDIMM,01tal000000Vw1aAAC,One-Time,0jPal00000001PBEAY,,
1TB 7.2k RPM NLSAS;One-Time,0iOal00000001UbEAI,true,1TB 7.2k RPM NLSAS,01tal000000Vw1bAAC,One-Time,0jPal00000001PBEAY,,
Intel X710 Dual Port 10Gb SFP;One-Time,0iOal00000001UcEAI,true,Intel X710 Dual Port 10Gb SFP,01tal000000Vw1PAAS,One-Time,0jPal00000001PBEAY,,
Integration Specialist Engineer;One-Time,0iOal00000001UdEAI,true,Integration Specialist Engineer,01tal000000Vw1cAAC,One-Time,0jPal00000001PBEAY,,
Solutions Architect;One-Time,0iOal00000001UeEAI,true,Solutions Architect,01tal000000Vw2lAAC,One-Time,0jPal00000001PBEAY,,
Configured Power Cable;One-Time,0iOal00000001UfEAI,true,Configured Power Cable,01tal000000Vw1TAAS,One-Time,0jPal00000001PBEAY,,
Subscription;Evergreen Monthly,0iOal00000001UgEAI,true,Subscription,01tal000000Vw1JAAS,Evergreen Monthly,0jPal00000001P7EAI,Default Proration Policy,0mual000000054XAAQ
Professional Services Daily Rate;One-Time,0iOal00000001UhEAI,true,Professional Services Daily Rate,01tal000000Vw2eAAC,One-Time,0jPal00000001PBEAY,,
Professional Services Scope of Work;One-Time,0iOal00000001UiEAI,true,Professional Services Scope of Work,01tal000000Vw2iAAC,One-Time,0jPal00000001PBEAY,,
Subscription;Term Monthly,0iOal00000001UjEAI,false,Subscription,01tal000000Vw1JAAS,Term Monthly,0jPal00000001P9EAI,Default Proration Policy,0mual000000054XAAQ
Intel Xeon E5-2667 v4 3.2GHz;One-Time,0iOal00000001UkEAI,true,Intel Xeon E5-2667 v4 3.2GHz,01tal000000Vw1XAAS,One-Time,0jPal00000001PBEAY,,
Project Manager;One-Time,0iOal00000001UlEAI,true,Project Manager,01tal000000Vw2mAAC,One-Time,0jPal00000001PBEAY,,
QB API Management Solution;Evergreen Monthly,0iOal00000003p7EAA,false,QB API Management Solution,01tal000000Vw1YAAS,Evergreen Monthly,0jPal00000001P7EAI,Default Proration Policy,0mual000000054XAAQ
QuantumBit Complete Solution;Evergreen Monthly,0iOal00000003p8EAA,false,QuantumBit Complete Solution,01tal000000Vw1hAAC,Evergreen Monthly,0jPal00000001P7EAI,Default Proration Policy,0mual000000054XAAQ
API Access Requests (AEH);Term Monthly,0iOal00000003p9EAA,false,API Access Requests (AEH),01tal000000Vw2MAAS,Term Monthly,0jPal00000001P9EAI,Default Proration Policy,0mual000000054XAAQ
QuantumBit Complete Solution;One-Time,0iOal00000003pAEAQ,false,QuantumBit Complete Solution,01tal000000Vw1hAAC,One-Time,0jPal00000001PBEAY,,
QB API Management Solution;One-Time,0iOal00000003pBEAQ,false,QB API Management Solution,01tal000000Vw1YAAS,One-Time,0jPal00000001PBEAY,,
Additional Messages - QB Starter;Evergreen Monthly,0iOal00000003pCEAQ,false,Additional Messages - QB Starter,01tal000000Vw2CAAS,Evergreen Monthly,0jPal00000001P7EAI,Default Proration Policy,0mual000000054XAAQ
Additional Data Throughput (TB);Evergreen Monthly,0iOal00000003pDEAQ,false,Additional Data Throughput (TB),01tal000000Vw2EAAS,Evergreen Monthly,0jPal00000001P7EAI,Default Proration Policy,0mual000000054XAAQ
Additional Flows - QB Starter;Evergreen Monthly,0iOal00000003pEEAQ,false,Additional Flows - QB Starter,01tal000000Vw2AAAS,Evergreen Monthly,0jPal00000001P7EAI,Default Proration Policy,0mual000000054XAAQ
API Access Requests (AEH);Evergreen Monthly,0iOal00000003pFEAQ,false,API Access Requests (AEH),01tal000000Vw2MAAS,Evergreen Monthly,0jPal00000001P7EAI,Default Proration Policy,0mual000000054XAAQ
Additional Automation QB Credits;Evergreen Monthly,0iOal00000003pGEAQ,false,Additional Automation QB Credits,01tal000000Vw2FAAS,Evergreen Monthly,0jPal00000001P7EAI,Default Proration Policy,0mual000000054XAAQ
Additional Flows - QB Starter;Term Monthly,0iOal00000003pHEAQ,false,Additional Flows - QB Starter,01tal000000Vw2AAAS,Term Monthly,0jPal00000001P9EAI,Default Proration Policy,0mual000000054XAAQ
Additional Data Throughput (TB);Term Monthly,0iOal00000003pIEAQ,false,Additional Data Throughput (TB),01tal000000Vw2EAAS,Term Monthly,0jPal00000001P9EAI,Default Proration Policy,0mual000000054XAAQ
