AvailabilityDate,BasedOnId,ConfigureDuringSale,CurrencyIsoCode,Description,Errors,Family,Id,IsActive,IsAssetizable,IsSoldOnlyWithOtherProds,Name,ProductCode,QuantityUnitOfMeasure,StockKeepingUnit,Type
,11B8N0000000004UAA,Allowed,USD,"The PowerSwerve server is designed to bring excellent performance, expandability and deployment flexibility to organizations that must deploy multiple integrated servers in a minimum amount of space at a low cost.",,Bundle,01t8N000004chIhQAI,true,true,false,PowerSwerve R750 Rack Server,QB-BDL-R750,Each,,Bundle
2024-02-01T20:00:00.000+0000,11B8N000000000AUAQ,Allowed,USD,Test Subscription Product,,Software,01t8N000004chIiQAI,true,true,false,Subscription,SUB,Each,SUB,
,11B8N0000000008UAA,Allowed,USD,16GB RDIMM,,Hardware,01t8N000004chIjQAI,true,true,false,16GB RDIMM,QB-MEM 16GB,Each,,
,11B8N0000000007UAA,Allowed,USD,8TB 7.2k RPM NLSAS 12Gps 3.5 in - Industry-leading rotational vibration tolerance design helps ensure consistent performance in dense multi-drive systems,,Hardware,01t8N000004chIkQAI,true,true,false,8TB 7.2k RPM NLSAS,QB-HD 8TB,Each,,
,11B8N0000000007UAA,Allowed,USD,"8TB 7.2k RPM Self-Encrypting NLSAS 12Gps 3.5 in - Performing like any other hard drive, with the encryption being completely transparent or invisible to the user.",,Hardware,01t8N000004chIlQAI,true,true,false,8TB 7.2k RPM Self-Encrypting NLSAS,QB-HD 8TBSE,Each,,
,11B8N0000000006UAA,Allowed,USD,Delivers superior performance with a theretical thoughtput of 80 Gb/s bidirectional thoughput.,,Hardware,01t8N000004chImQAI,true,true,false,Intel X710 Dual Port 10Gb SFP,QB-BET X710SFP,Each,,
,11B8N000000000BUAQ,Allowed,USD,"Custom Implementation managed by in-house professional services, charged on a Time and Material basis.",,Bundle,01t8N000004chInQAI,true,true,false,QuantumBit Services Project,QB-BDL-SRVC,,,Bundle
,11B8N0000000001UAA,Allowed,USD,The Power Cord is designed to provide ideal electrical connectivity to your equipments. It operates at 250-Volt voltage range.,,Hardware,01t8N000004chIoQAI,true,true,false,Configured Power Cable,QB-CMPC-5887,,,
,,,USD,"Mounting hardware includes light and heavy-duty shelves, bolt-down brackets, stabilization plates, grounding kits, keyboard drawers, mounting rails, brackets, and associated hardware.",,Hardware,01t8N000004chIpQAI,true,true,false,TX 600mm/750mm Stabilizer Plate,QB-BSSA-4303,,,
,,,USD,"Mounting hardware includes light and heavy-duty shelves, bolt-down brackets, stabilization plates, grounding kits, keyboard drawers, mounting rails, brackets, and associated hardware.",,Hardware,01t8N000004chIqQAI,true,true,false,TX Bolt-Down Kit,QB-BSSA-4304,,,
,,,USD,"Rack PDU 30A, 120V L5-20 input 5-20 output - Basic Rack Power Distribution Unit allows users to distribute power outlets to rack-mount equipment.",,Hardware,01t8N000004chIrQAI,true,true,false,"Rack PDU 30A, 120V L5-20",QB-PDU-2023,,,
,,,USD,"Rack PDU 15A, 120V L5-20 input 5-20 output - Basic Rack Power Distribution Unit allows users to distribute power outlets to rack-mount equipment.",,Hardware,01t8N000004chIsQAI,true,true,false,"Rack PDU 15A, 120V L5-20",QB-PDU-2024,,,
,,,USD,"Rack PDU 20A, 230V C20 input C19 output - Basic Rack Power Distribution Unit allows users to distribute power outlets to rack-mount equipment.",,Hardware,01t8N000004chItQAI,true,true,false,"Rack PDU 20A, 230V C20 input C1",QB-PDU-2025,,,
,,,USD,Rack PDU 10A 230V C20 input C19 output - Basic Rack Power Distribution Unit allows users to distribute power outlets to rack-mount equipment.,,Hardware,01t8N000004chIuQAI,true,true,false,"Rack PDU 10A, 230V C20 input C19",QB-PDU-2026,,,
,,,USD,Rack PDU 16A 230V C20 input C13 output - Basic Rack Power Distribution Unit allows users to distribute power outlets to rack-mount equipment.,,Hardware,01t8N000004chIvQAI,true,true,false,"Rack PDU 16A, 230V, C13 output",QB-PDU-2027,,,
,,,USD,"Rack PDU 14.4kW, 208V, 3 phase CS8365 input C13 output - Basic Rack Power Distribution Unit allows users to distribute power outlets to rack-mount equipment.",,Hardware,01t8N000004chIwQAI,true,true,false,"Rack PDU 14.4kW, 208V, C13 output",QB-PDU-2028,,,
,,,USD,"Rack PDU 5.7W, 208V, 3 phase CS8365 input C13 output - Basic Rack Power Distribution Unit allows users to distribute power outlets to rack-mount equipment.",,Hardware,01t8N000004chIxQAI,true,true,false,"Rack PDU 5.7W, 208V, C13 output",QB-PDU-2029,,,
,,,USD,No Operating System,,None,01t8N000004chIyQAI,true,true,false,No Operating System,QB-NO-OSYS,,,
,,,USD,vSphere Standard provides an entry solution for basic consolidation of applications to slash hardware costs while accelerating application deployment.,,3rd Party Software,01t8N000004chIzQAI,true,true,false,vSphere Standard,QB-VMW-S,,,
,,,USD,"vSphere Enterprise includes the full range of vSphere features for transforming datacenters into dramatically simplified cloud computing environments providing the next generation of flexible, reliable IT services.",,3rd Party Software,01t8N000004chJ0QAI,true,true,false,vSphere Enterprise,QB-VMW-E,,,
,,,USD,Installation and Assembly of a QuantumBit Rack by a Certified technician.,,Services,01t8N000004chJ1QAI,true,true,false,Installation and Assembly,QB-INST-1000,,,
,,,USD,Professional services billed at the end of each month based on consumed hours.,,Services,01t8N000004chJ2QAI,true,true,false,Professional Service Hours (Consumption),QB-SRV-OG-PSHC,,,
,,,USD,"Red Hat Enterprise Linux delivers military-grade security, 99.999% uptime, support for business-critical workloads.",,3rd Party Software,01t8N000004chJ3QAI,true,true,false,Red Hat Enterprise Linux,QB-REDHAT,,,
,,,USD,"vSphere Desktop can be used to power virtual desktops, as well as the underlying infrastructure for the VDI environment.",,3rd Party Software,01t8N000004chJ4QAI,true,true,false,vSphere Desktop,QB-VMW-D,,,
,,,USD,"Upgrade, Bug Fixes, and Patched for Perpetual Licenses.
Early Access to BETA Releases. Upgrade and Patch Assistance. 20% of Licensing",,Services,01t8N000004chJ5QAI,true,true,false,Software Maintenance,QB-SUPP-2000,,,
,,,USD,"QuantumBit apps process messages and other parts of QB events through components, connectors, and modules that are set up within the scope of Flow and Subflow components within an app.",,Software,01t8N000004chJ6QAI,true,true,false,Additional Flows - QB Enterprise,QB-FLO-ENTR,,,
,,,USD,"QB Sync is a multi-tenant, cloud-based message queuing service for exchanging data asynchronously between your applications. The QB sync messaging broker enables applications to communicate by publishing a QB message to a queue so that another app can consume the message.",,Software,01t8N000004chJ7QAI,true,true,false,Additional Messages - QB Enterprise,QB-MSG-ENTR,,,
,,,USD,"Rack PDU 20A, 120V L5-20 input 5-20 output - Basic Rack Power Distribution Unit allows users to distribute power outlets to rack-mount equipment.",,Hardware,01t8N000004chJ8QAI,true,true,false,"Rack PDU 20A, 120V L5-20",QB-PDU-2022,,,
,,,USD,API instances remain under management until they are deleted. Instances of API Manager are aggregated using a Max Concurrent model. The usage for a month is the highest number of APIs Managed in a single given hour during a month.,,Software,01t8N000004chJ9QAI,true,true,false,Additional API Pre-Prod,QB-API-PREP,,,
,,,USD,API instances remain under management until they are deleted. Instances of API Manager are aggregated using a Max Concurrent model. The usage for a month is the highest number of APIs Managed in a single given hour during a month.,,Software,01t8N000004chJAQAY,true,true,false,Additional API Gov,QB-API-GOVT,,,
,,,USD,API instances remain under management until they are deleted. Instances of API Manager are aggregated using a Max Concurrent model. The usage for a month is the highest number of APIs Managed in a single given hour during a month.,,Software,01t8N000004chJBQAY,true,true,false,Additional API Flex (100M),QB-API-FLEX,,,
,,,USD,"With QuantumBit DataGraph, you can reuse multiple APIs in a single request. Enterprise architects can easily unify APIs into one data service — all without writing more code. Developers can consume multiple APIs from the data service in a single GraphQL request.",,Software,01t8N000004chJCQAY,true,true,false,Additional QB DataGraph (500M),QB-DAT-GRPH,,,
,,,USD,"The Program Director provides executive leadership, subject matter expertise, and program oversight.",,Services,01t8N000004chJDQAY,true,true,false,Program Director,QB-SRV-PD,,,
,,,USD,Our Solution Architects are responsible for analyzing customer requirements and designing the optimal solution capabilities.,,Services,01t8N000004chJEQAY,true,true,false,Solutions Architect,QB-SRV-SAT,,,
,,,USD,"The Project Manager ensures a projects timely and efficient delivery by coordinating meetings, tracking progress, escalating issues, and proctoring weekly status reports.",,Services,01t8N000004chJFQAY,true,true,false,Project Manager,QB-SRV-PMN,,,
,11B8N000000000CUAQ,Allowed,USD,Our certified Implementation Engineers bring a wealth of application expertise and integration experience to ensure the clients other systems are connected.,,Services,01t8N000004chJGQAY,true,true,false,Implementation Engineer,QB-SRV-IMP,,,
,11B8N000000000CUAQ,Allowed,USD,Our certified Integration Specialist Engineers bring a wealth of application expertise and integration experience to ensure the clients other systems are connected.,,Services,01t8N000004chJHQAY,true,true,false,Integration Specialist Engineer,QB-SRV-ISE,,,
,11B8N000000000CUAQ,Allowed,USD,"Our certified Module Extension Engineers specialize in configuring and customizing the additional modules to a clients specifications, and work closely with the Core System Engineers.",,Services,01t8N000004chJIQAY,true,true,false,Module Extension Engineer,QB-SRV-MEE,,,
,11B8N000000000CUAQ,Allowed,USD,Quality Assurance Engineers test and support the activities prior to a successful Go-Live launch.,,Services,01t8N000004chJJQAY,true,true,false,Quality Assurance Engineer,QB-SRV-QAE,,,
,11B8N000000000CUAQ,Allowed,USD,"Data Normalization Experts engage early in the project and assist customers in normalizing, cleaning, and de-duping data, and can perform upload and update functions.",,Services,01t8N000004chJKQAY,true,true,false,Data Normalization Expert,QB-SRV-DNE,,,
,,,USD,Increase productivity by managing all your APIs and microservices from one place.,,Software,01t8N000004chJLQAY,true,true,false,QB API Management Solution,QB-API-MGMT,,,
,,,USD,"QuantumBit apps process messages and other parts of QB events through components, connectors, and modules that are set up within the scope of Flow and Subflow components within an app.",,Software,01t8N000004chJMQAY,true,true,false,Additional Flows - QB Starter,QB-FLO-STRT,,,
,,,USD,"QB Sync is a multi-tenant, cloud-based message queuing service for exchanging data asynchronously between your applications. The QB sync messaging broker enables applications to communicate by publishing a QB message to a queue so that another app can consume the message.",,Software,01t8N000004chJNQAY,true,true,false,Additional Messages - QB Starter,QB-MSG-STRT,,,
,,,USD,"Data throughput counts when the deployed application transfers data to execute its business logic, including but not limited to internal operational network traffic for monitoring, logs, and health checks. Data throughput is aggregated as a sum of all bytes during a month.",,Software,01t8N000004chJOQAY,true,true,false,Additional Data Throughput (TB),QB-DAT-THPT,,,
,,,USD,The 19-inch Black Modular Toolless Blanking Panel allows for quick and easy installation in any EIA-310-D compliant square hole mounting rail rack or enclosure.,,Hardware,01t8N000004chJPQAY,true,true,false,Blanking Panel,QB-BSSA-4298,,,
,,,USD,"Occupying 1U of rack space, this sliding shelf provides ventilation, and easy access to severs.",,Hardware,01t8N000004chJQQAY,true,true,false,Sliding Shelf 200lbs,QB-BSSA-4300,,,
,,,USD,"Occupying 1U of rack space, this shelf provides ventilation, 4-post mounting and an adjustable mounting depth.",,Hardware,01t8N000004chJRQAY,true,true,false,Fixed Shelf 250lbs,QB-BSSA-4302,,,
,,,USD,Roof Fan Tray promotes bottom to top airflow for an enclosure in zero U of space. It cools by exhausting heat out of the roof of the rack.,,Hardware,01t8N000004chJSQAY,true,true,false,Roof Fan Tray 750mm - 120V,QB-BSSA-4306,,,
,,,USD,Roof Fan Tray promotes bottom to top airflow for an enclosure in zero U of space. It cools by exhausting heat out of the roof of the rack.,,Hardware,01t8N000004chJTQAY,true,true,false,Roof Fan Tray 750mm - 208V,QB-BSSA-4308,,,
,,,USD,"Support and protect your IT equipment with rack enclosures designed for flexible deployments, usability and infrastructure scalability.",,Bundle,01t8N000004chJUQAY,true,true,false,QuantumBit Rack Enclosure,QB-BDL-RAXS,,,
,,,USD,Basic Consulting package for implementation managed by 3rd party SI/Partner on Fixed Fee basis.,,Services,01t8N000004chJVQAY,true,true,false,Quick Start Enablement,QB-SRV-QSE,,,
,,,USD,Professional Services - Associate Consultant Daily Rate,,Services,01t8N000004chJWQAY,true,true,false,Professional Services - Associate Consultant Daily Rate,QB-SRV-OG-AC-PSH,,,
,,,USD,One-time fee to access premium customer success services as you navigate your data transformation.,,Services,01t8N000004chJXQAY,true,true,false,"QuantumBit Advisory Services, CSM Premium",QB-SRV-AS,,,
,,,USD,"For mission critical deployments, you need QuantumBit up and running as fast as possible. Select the standard success plan for access to documentation, online case management and phone support.",,Services,01t8N000004chJYQAY,true,true,false,Standard Success Plan,QB-STD-SP,,,
,,,USD,Professional project management services option to be priced on a per-day basis.,,Services,01t8N000004chJZQAY,true,true,false,Professional Services - Project Management Daily Rate,QB-SRV-OG-PM-PSH,,,
,,,USD,"For mission critical deployments, you need QuantumBit up and running as fast as possible. Select the premium success plan for everything included in the standard plan AND direct access to our advanced support team 24/7.",,Services,01t8N000004chJaQAI,true,true,false,Premium Success Plan,QB-SRV-PRM-SP,,,
